============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 3088844.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=500000.E+02 A
  Layer # 1 - Density =0000.0125 g/cm3
  Layer # 1 -  100 % of Ar
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   9.8273E+04 -7.0667E+04  8.9143E+03
0000002   1.2520E+05  2.2098E+04 -1.6298E+04
0000003   1.7055E+05 -1.0121E+04 -3.2566E+04
0000004   5.2788E+04 -8.8454E+03 -5.4407E+04
0000005   1.1843E+05  2.7287E+04  5.5174E+03
0000006   1.3006E+05 -1.8909E+04 -2.6494E+03
0000007   1.2566E+05 -2.0898E+04 -6.3297E+03
0000008   9.3605E+04 -3.4513E+04 -5.2143E+04
0000009   1.4842E+05  5.3929E+04 -3.4295E+03
0000010   1.0456E+05 -1.8083E+04 -4.2020E+02
0000011   4.5154E+04  5.0414E+04 -1.8843E+03
0000012   1.0166E+05  6.4076E+04  2.1119E+04
0000013   9.4442E+04  2.0470E+04  2.6752E+04
0000014   7.3514E+04 -1.3480E+04  1.5410E+04
0000015   1.1020E+05  7.0392E+03 -3.6549E+04
0000016   3.9808E+04 -2.0657E+04 -2.7819E+04
0000017   1.2417E+05 -5.8244E+04  2.8519E+04
0000018   1.1854E+05 -5.7272E+04  3.1043E+04
0000019   2.5657E+04 -3.9642E+04  8.9603E+03
0000020   1.1578E+05  3.8849E+03 -2.0254E+04
0000021   4.8361E+04 -2.0826E+04  2.0174E+04
0000022   7.5807E+04  1.3783E+04 -3.5406E+03
0000023   9.9436E+04  4.4362E+04  1.5622E+04
0000024   6.7283E+04  1.5514E+04  2.3320E+04
0000025   2.0244E+05 -1.6044E+03  3.7479E+04
0000026   3.1660E+04  2.7729E+04 -1.2060E+04
0000027   6.2120E+04  1.3305E+04 -3.8670E+04
0000028   1.9197E+04 -8.3035E+04 -3.6008E+04
0000029   5.7147E+04  8.0850E+04  3.2911E+04
0000030   1.5218E+04 -2.0593E+04  5.8841E+03
0000031   6.3983E+04  3.6908E+02  1.8280E+04
0000032   1.0606E+05  2.3874E+03  1.4547E+04
0000033   5.9501E+04 -2.7740E+04 -1.6031E+04
0000034   1.0143E+05 -5.9112E+04  3.0165E+04
0000035   5.4991E+04 -3.0884E+04  3.3163E+03
0000036   3.0562E+04 -6.3664E+02 -1.9003E+04
0000037   7.6276E+04  1.3362E+04  1.8627E+04
0000038   1.1153E+05  6.7377E+04 -3.0966E+03
0000039   5.9067E+04 -6.2437E+03  2.0315E+04
0000040   9.0619E+03 -3.1020E+04 -2.0304E+04
0000041   1.6124E+05 -3.0420E+04 -6.9595E+04
0000042   4.8392E+04  4.7962E+04  6.0239E+04
0000043   1.4598E+05  3.5617E+04  2.2050E+04
0000044   9.0938E+04  2.5236E+04 -2.8985E+04
0000045   8.6489E+04  2.6099E+02  1.3199E+04
0000046   2.2830E+04  3.1101E+04 -5.0227E+04
0000047   1.2842E+05  6.3568E+04 -3.9623E+04
0000048   1.7782E+05 -1.1645E+04 -9.0224E+03
0000049   5.2017E+04  3.4685E+04  1.5969E+04
0000050   4.2920E+04  6.8280E+04  6.3695E+04
0000051   1.2015E+05 -6.2885E+04  1.3045E+04
0000052   1.1441E+05  4.1906E+01 -2.0397E+03
0000053   3.3112E+04 -1.2209E+04 -5.6092E+03
0000054   1.2968E+05  4.7379E+04 -6.3331E+04
0000055   7.7798E+04  2.8088E+04 -6.7528E+04
0000056   1.1503E+05 -9.6659E+03  7.7487E+04
0000057   6.9774E+04 -9.2866E+04 -3.2626E+04
0000058   1.3279E+05  1.8528E+04 -7.2262E+04
0000059   8.4128E+04 -3.3186E+04  1.7271E+04
0000060   7.6976E+04  3.2922E+04  3.3515E+04
0000061   7.2247E+04  2.0568E+04  1.5877E+04
0000062   4.2400E+04 -1.6052E+04  5.7032E+03
0000063   6.6167E+04 -2.7778E+04  2.1708E+04
0000064   1.3710E+05 -2.1648E+04 -6.8023E+04
0000065   7.4885E+04 -3.1919E+04 -1.1956E+04
0000066   9.4162E+04 -3.7566E+04 -1.0303E+04
0000067   1.3450E+05 -8.2725E+04 -1.0521E+04
0000068   1.4477E+05  5.5147E+04  6.3149E+04
0000069   5.4391E+04  5.7590E+04 -4.9221E+04
0000070   1.0965E+05  3.9672E+04 -1.6176E+04
0000071   6.4509E+04  1.8903E+04 -3.3717E+03
0000072   9.0037E+04 -1.8374E+04 -2.9230E+04
0000073   6.3272E+04 -9.8041E+03 -2.1640E+04
0000074   1.3511E+05 -1.5618E+04  5.5963E+04
0000075   6.2933E+04  1.5305E+04 -6.1851E+04
0000076   1.0943E+05 -4.8845E+04  1.6848E+04
0000077   7.3186E+04  3.7670E+04  3.7056E+03
0000078   5.2690E+04 -1.9473E+04 -4.9343E+04
0000079   4.5265E+04 -2.9735E+04  3.7480E+04
0000080   1.0538E+05  1.7334E+04  1.7540E+04
0000081   5.7410E+04  1.5207E+04  3.9031E+03
0000082   1.0732E+05  4.7744E+04 -3.2749E+04
0000083   1.0301E+05  4.2081E+04  1.4230E+05
0000084   2.0867E+04  1.2533E+03 -1.7698E+03
0000085   8.5372E+04  1.2775E+04  6.2032E+03
0000086   7.7648E+04  1.7571E+04 -2.5140E+04
0000087   7.6573E+04 -5.0064E+04 -1.1359E+05
0000088   1.2228E+05 -4.6976E+03  1.0921E+04
0000089   4.6974E+04 -4.0768E+04  1.6089E+04
0000090   4.9386E+04  4.0674E+04 -4.1557E+04
0000091   3.2893E+04  3.3811E+04 -5.5624E+04
0000092   6.1850E+04  6.6133E+03  7.1156E+04
0000093   5.2079E+04 -3.9457E+03 -4.2163E+03
0000094   3.1326E+04 -5.9558E+04 -6.6300E+03
0000095   7.3821E+04 -1.6523E+04 -5.0291E+02
0000096   5.9026E+04  1.5615E+04  8.4178E+03
0000097   7.4539E+04 -3.0362E+04  1.8012E+04
0000098   1.5572E+05  1.0705E+05 -3.2607E+04
0000099   5.7930E+04 -1.7220E+04  2.4166E+04
0000100   8.3352E+04 -1.0398E+04 -1.2166E+04
0000101   7.1332E+04  1.2184E+04  4.3357E+04
0000102   4.5958E+04 -1.1459E+04  2.2760E+04
0000103   1.1306E+05  7.4327E+03 -1.2991E+04
0000104   7.6541E+04  3.7386E+03  9.0081E+03
0000105   1.1336E+05 -6.6608E+04 -6.4977E+04
0000106   1.0346E+05 -4.8074E+04  8.2983E+04
