====== Ar (10) into Layer 1                     =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Ar(33.9 keV) ==> Layer 1(  1 mm) ==========================
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 33.93222 keV
 Total Ions calculated =10000.00
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width = 10000.E+03 AAA ;
  Layer # 1- Density = 2.689E19 atoms/cm3 = .0017 g/cm3
  Layer # 1- Ar = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 710886.E+00 A   Straggling = 330804.E+00 A
 Ion Lateral Range = 222805.E+00 A   Straggling = 288526.E+00 A
 Ion Radial  Range = 355767.E+00 A   Straggling = 211048.E+00 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1000000.E-01 14232615.E-02 20154288.E-02 22578069.E-02 17954475.E-02 
2000000.E-01 15691916.E-02 20960258.E-02 24768207.E-02 16551520.E-02 
3000000.E-01 17629595.E-02 23536431.E-02 28129508.E-02 18939599.E-02 
4000000.E-01 18987495.E-02 25477368.E-02 29711018.E-02 19014487.E-02 
5000000.E-01 19683777.E-02 26006068.E-02 31594826.E-02 19786803.E-02 
6000000.E-01 21844690.E-02 27638189.E-02 33995359.E-02 19355319.E-02 
7000000.E-01 22284359.E-02 28644601.E-02 35704253.E-02 21114363.E-02 
8000000.E-01 23013750.E-02 29780097.E-02 37097825.E-02 21247358.E-02 
9000000.E-01 24199451.E-02 30396971.E-02 38296319.E-02 20871615.E-02 
1000000.E+00 25895077.E-02 32947043.E-02 40569226.E-02 21988473.E-02 
1100000.E+00 25785844.E-02 32256102.E-02 40908472.E-02 21573455.E-02 
