====== Ar (10) into Layer 1                     =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Ar(10.9 keV) ==> Layer 1(  1 mm) ==========================
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 10.98541 keV
 Total Ions calculated =10000.00
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width = 10000.E+03 AAA ;
  Layer # 1- Density = 2.689E19 atoms/cm3 = .0017 g/cm3
  Layer # 1- Ar = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 277997.E+00 A   Straggling = 139540.E+00 A
 Ion Lateral Range = 941379.E-01 A   Straggling = 121451.E+00 A
 Ion Radial  Range = 147683.E+00 A   Straggling = 879692.E-01 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1000000.E-01 69958709.E-03 94149885.E-03 11101616.E-02 77379109.E-03 
2000000.E-01 80083364.E-03 10387115.E-02 12772181.E-02 76852229.E-03 
3000000.E-01 93804180.E-03 11997636.E-02 14648661.E-02 84986043.E-03 
4000000.E-01 10260747.E-02 13054720.E-02 15956030.E-02 87941260.E-03 
5000000.E-01 10875123.E-02 13658503.E-02 17272180.E-02 96219267.E-03 
6000000.E-01 12071209.E-02 15009233.E-02 18842734.E-02 97970128.E-03 
7000000.E-01 12474168.E-02 15438686.E-02 18164210.E-02 91010569.E-03 
8000000.E-01 13113849.E-02 17013481.E-02 18387711.E-02 10308047.E-02 
9000000.E-01 14132066.E-02 16463298.E-02 17774451.E-02 96438130.E-03 
1000000.E+00 32018490.E-03 32018490.E-03 94289225.E-03 00000000.E+00 
1100000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
