====== Ar (10) into Layer 1                     =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Ar(244. keV) ==> Layer 1(  1 mm) ==========================
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 244.2053 keV
 Total Ions calculated =10000.00
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width = 10000.E+03 AAA ;
  Layer # 1- Density = 2.689E19 atoms/cm3 = .0017 g/cm3
  Layer # 1- Ar = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 494457.E+01 A   Straggling = 173334.E+01 A
 Ion Lateral Range = 128596.E+01 A   Straggling = 162756.E+01 A
 Ion Radial  Range = 200274.E+01 A   Straggling = 108484.E+01 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
5800000.E+00 13176517.E-01 16195171.E-01 20863678.E-01 10323493.E-01 
5900000.E+00 13760279.E-01 17488258.E-01 21347131.E-01 11199196.E-01 
6000000.E+00 12739259.E-01 15987977.E-01 20362693.E-01 10026014.E-01 
6100000.E+00 13028210.E-01 16602190.E-01 19787351.E-01 10513284.E-01 
6200000.E+00 12243260.E-01 15648824.E-01 20309049.E-01 11683189.E-01 
6300000.E+00 14513557.E-01 18237645.E-01 22515587.E-01 11048354.E-01 
6400000.E+00 12739887.E-01 16302618.E-01 20951657.E-01 10939266.E-01 
6500000.E+00 13135660.E-01 15967011.E-01 21542716.E-01 10727250.E-01 
6600000.E+00 12971074.E-01 16454958.E-01 21184059.E-01 10514630.E-01 
6700000.E+00 14611352.E-01 18111233.E-01 22033178.E-01 10151880.E-01 
6800000.E+00 13890143.E-01 17545153.E-01 20290416.E-01 10776071.E-01 
6900000.E+00 11263775.E-01 14257399.E-01 18642155.E-01 10749983.E-01 
7000000.E+00 14060673.E-01 17896392.E-01 22043561.E-01 11288129.E-01 
7100000.E+00 12373403.E-01 15241670.E-01 19355793.E-01 95770093.E-02 
7200000.E+00 13458207.E-01 16309985.E-01 21625214.E-01 10225371.E-01 
7300000.E+00 13033914.E-01 15789508.E-01 20396069.E-01 94605856.E-02 
7400000.E+00 13659107.E-01 16420362.E-01 20321117.E-01 10556017.E-01 
7500000.E+00 14050702.E-01 17255418.E-01 20734064.E-01 98054262.E-02 
7600000.E+00 15670097.E-01 18882566.E-01 22282023.E-01 10398855.E-01 
7700000.E+00 10896116.E-01 14323715.E-01 18262018.E-01 94097224.E-02 
7800000.E+00 13820006.E-01 17517751.E-01 19672996.E-01 10234623.E-01 
7900000.E+00 11871435.E-01 13854912.E-01 17104994.E-01 81395543.E-02 
8000000.E+00 12099526.E-01 15219429.E-01 21734532.E-01 10612349.E-01 
8100000.E+00 14186112.E-01 17914198.E-01 22069435.E-01 10257025.E-01 
8200000.E+00 13248787.E-01 16388529.E-01 21554672.E-01 10967212.E-01 
8300000.E+00 12047745.E-01 14356170.E-01 18169993.E-01 10103467.E-01 
8400000.E+00 13288059.E-01 16025056.E-01 19299807.E-01 94021116.E-02 
8500000.E+00 11361318.E-01 15455483.E-01 21095210.E-01 10378847.E-01 
8600000.E+00 11787116.E-01 14624437.E-01 17380801.E-01 10197104.E-01 
8700000.E+00 11973205.E-01 14126227.E-01 19808483.E-01 10699815.E-01 
8800000.E+00 14779977.E-01 17672070.E-01 18451282.E-01 91554742.E-02 
8900000.E+00 24704764.E-02 33425931.E-02 20132273.E-01 98777186.E-02 
9000000.E+00 97262143.E-02 11759209.E-01 14725830.E-01 69399440.E-02 
9100000.E+00 14358467.E-01 16087750.E-01 16858378.E-01 68068017.E-02 
9200000.E+00 90989549.E-02 11860276.E-01 14047855.E-01 97862519.E-02 
9300000.E+00 11246057.E-01 13478149.E-01 13056162.E-01 75043002.E-02 
9400000.E+00 16062726.E-01 18652415.E-01 19829304.E-01 10186614.E-01 
9500000.E+00 13900822.E-01 15497193.E-01 19171968.E-01 93539838.E-02 
9600000.E+00 17223802.E-01 20145394.E-01 32698120.E-01 40749562.E-02 
9700000.E+00 22116187.E-01 22442284.E-01 27933238.E-01 20373065.E-02 
9800000.E+00 15322454.E-01 15322454.E-01 16368126.E-01 00000000.E+00 
9900000.E+00 20834608.E-01 22877529.E-01 36668025.E-01 42965230.E-02 
1000000.E+01 12872446.E-01 14738919.E-01 13055010.E-01 73390477.E-02 
