====== Ar (10) into Layer 1                     =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Ar(23.2 keV) ==> Layer 1(  1 mm) ==========================
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 23.29952 keV
 Total Ions calculated =10000.00
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width = 10000.E+03 AAA ;
  Layer # 1- Density = 2.689E19 atoms/cm3 = .0017 g/cm3
  Layer # 1- Ar = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 509973.E+00 A   Straggling = 245876.E+00 A
 Ion Lateral Range = 164987.E+00 A   Straggling = 213754.E+00 A
 Ion Radial  Range = 261740.E+00 A   Straggling = 156432.E+00 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1000000.E-01 11528019.E-02 15296044.E-02 18771729.E-02 12807863.E-02 
2000000.E-01 11994160.E-02 16720667.E-02 18635688.E-02 13115835.E-02 
3000000.E-01 14638958.E-02 19260120.E-02 22805778.E-02 14979773.E-02 
4000000.E-01 15277959.E-02 19680594.E-02 24680588.E-02 14730620.E-02 
5000000.E-01 16620426.E-02 21437149.E-02 26092481.E-02 15076779.E-02 
6000000.E-01 17412507.E-02 22129464.E-02 27990673.E-02 15547783.E-02 
7000000.E-01 17202326.E-02 21931410.E-02 27440244.E-02 15446483.E-02 
8000000.E-01 19330557.E-02 24571240.E-02 30322419.E-02 16848066.E-02 
9000000.E-01 19697161.E-02 24702539.E-02 30641900.E-02 16028922.E-02 
1000000.E+00 19270958.E-02 24811856.E-02 30369405.E-02 16975501.E-02 
1100000.E+00 18212883.E-02 23230628.E-02 30240688.E-02 15436762.E-02 
