====== Ar (10) into Layer 1                     =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Ar(104. keV) ==> Layer 1(  1 mm) ==========================
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 104.8113 keV
 Total Ions calculated =10000.00
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width = 10000.E+03 AAA ;
  Layer # 1- Density = 2.689E19 atoms/cm3 = .0017 g/cm3
  Layer # 1- Ar = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 204711.E+01 A   Straggling = 855024.E+00 A
 Ion Lateral Range = 600424.E+00 A   Straggling = 766004.E+00 A
 Ion Radial  Range = 942625.E+00 A   Straggling = 533565.E+00 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1000000.E-01 25151402.E-02 37155868.E-02 44748234.E-02 32788087.E-02 
2000000.E-01 51385003.E-02 71839584.E-02 71082523.E-02 49618706.E-02 
3000000.E-01 38967902.E-02 57247482.E-02 63342111.E-02 49757274.E-02 
4000000.E-01 39441826.E-02 53500586.E-02 62251178.E-02 44404631.E-02 
5000000.E-01 53078555.E-02 71096082.E-02 80535827.E-02 55905342.E-02 
6000000.E-01 36325151.E-02 51752198.E-02 63275194.E-02 42222097.E-02 
7000000.E-01 40037014.E-02 53731368.E-02 67196589.E-02 48711524.E-02 
8000000.E-01 42870821.E-02 56805629.E-02 67469658.E-02 44948633.E-02 
9000000.E-01 48847419.E-02 62132538.E-02 73469485.E-02 44880770.E-02 
1000000.E+00 49103559.E-02 63679286.E-02 78952262.E-02 46483240.E-02 
1100000.E+00 51457750.E-02 68664736.E-02 81717229.E-02 49598700.E-02 
