====== Ar (10) into Layer 1                     =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Ar(202. keV) ==> Layer 1(  1 mm) ==========================
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 202.359 keV
 Total Ions calculated =10000.00
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width = 10000.E+03 AAA ;
  Layer # 1- Density = 2.689E19 atoms/cm3 = .0017 g/cm3
  Layer # 1- Ar = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 405818.E+01 A   Straggling = 148832.E+01 A
 Ion Lateral Range = 108490.E+01 A   Straggling = 136918.E+01 A
 Ion Radial  Range = 170056.E+01 A   Straggling = 925453.E+00 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1000000.E-01 25120233.E-02 28368036.E-02 46473889.E-02 32901942.E-02 
2000000.E-01 26114376.E-02 29580269.E-02 40494424.E-02 27082281.E-02 
3000000.E-01 61204920.E-02 78846314.E-02 10306188.E-01 81157311.E-02 
4000000.E-01 92946013.E-02 11341918.E-01 12128627.E-01 77366541.E-02 
5000000.E-01 70647744.E-02 95899450.E-02 99649425.E-02 68354720.E-02 
6000000.E-01 70145279.E-02 10916340.E-01 99895019.E-02 86800078.E-02 
7000000.E-01 71521132.E-02 10110897.E-01 10000569.E-01 79652713.E-02 
8000000.E-01 69242392.E-02 10705950.E-01 12815118.E-01 10708682.E-01 
9000000.E-01 92148013.E-02 12521387.E-01 15047692.E-01 98849523.E-02 
1000000.E+00 87725265.E-02 11837989.E-01 11714230.E-01 82504602.E-02 
1100000.E+00 84744577.E-02 10943403.E-01 11882764.E-01 75501250.E-02 
