====== Ar (10) into Layer 1                     =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Ar(30.8 keV) ==> Layer 1(  1 mm) ==========================
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 30.88844 keV
 Total Ions calculated =10000.00
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width = 10000.E+03 AAA ;
  Layer # 1- Density = 2.689E19 atoms/cm3 = .0017 g/cm3
  Layer # 1- Ar = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 650808.E+00 A   Straggling = 301331.E+00 A
 Ion Lateral Range = 207495.E+00 A   Straggling = 266855.E+00 A
 Ion Radial  Range = 325794.E+00 A   Straggling = 191055.E+00 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1000000.E-01 14733733.E-02 20105266.E-02 21701750.E-02 15295853.E-02 
2000000.E-01 15009860.E-02 20045216.E-02 23269129.E-02 16517695.E-02 
3000000.E-01 16497626.E-02 22233300.E-02 26404548.E-02 17961073.E-02 
4000000.E-01 17951840.E-02 23313590.E-02 27847143.E-02 17269096.E-02 
5000000.E-01 19339623.E-02 25049929.E-02 30633615.E-02 18397361.E-02 
6000000.E-01 20712544.E-02 26691167.E-02 31866342.E-02 18381027.E-02 
7000000.E-01 21463949.E-02 27020715.E-02 33469348.E-02 18135622.E-02 
8000000.E-01 21582038.E-02 27150233.E-02 34262634.E-02 18772561.E-02 
9000000.E-01 22703853.E-02 28903663.E-02 35967369.E-02 19675467.E-02 
1000000.E+00 23994580.E-02 29835845.E-02 37374010.E-02 19499460.E-02 
1100000.E+00 24706166.E-02 31169668.E-02 37351691.E-02 19930368.E-02 
