============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 7543120.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=500000.E+02 A
  Layer # 1 - Density =0000.0178 g/cm3
  Layer # 1 -  100 % of Ar
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.3022E+06  4.0497E+05  8.7676E+05
0000002   1.1842E+06  1.8525E+05 -1.6159E+05
0000003   1.1913E+06  3.6082E+05 -4.6656E+05
0000004   1.1870E+06  4.5469E+05  4.3917E+05
0000005   9.6348E+05  8.1473E+05 -3.0969E+04
0000006   1.5603E+06  1.4280E+05 -9.2124E+04
0000007   1.0082E+06 -4.3215E+05 -4.8515E+05
0000008   1.1708E+06 -4.3673E+05 -1.4547E+05
0000009   1.6931E+06  1.6889E+05  3.4706E+05
0000010   1.3094E+06  4.2500E+05 -2.5404E+05
0000011   1.7954E+06  7.5836E+04 -3.4877E+05
0000012   1.7581E+06  3.5777E+05  8.5039E+04
0000013   9.6573E+05 -1.3670E+05 -2.3767E+05
0000014   1.4975E+06  2.4907E+05  2.1736E+05
0000015   8.7706E+05  3.0830E+05 -2.4860E+04
0000016   1.8732E+06 -3.2587E+05  1.8588E+05
0000017   1.4243E+06 -3.3738E+05 -4.0705E+05
0000018   9.0325E+05  4.6200E+05  4.8798E+05
0000019   1.5931E+06 -1.2717E+05 -5.1432E+05
0000020   1.3530E+06  2.5791E+04  7.9022E+05
0000021   1.1773E+06  4.0849E+05  9.5272E+04
0000022   1.3966E+06 -7.3845E+04  3.5392E+05
0000023   1.2004E+06  3.6962E+05  3.0029E+05
0000024   1.6358E+06  8.7073E+04 -4.3433E+05
0000025   2.0992E+06 -2.0637E+05 -5.2370E+04
0000026   6.1876E+05 -5.0371E+04  5.4491E+05
0000027   1.8874E+06 -2.6988E+05  1.1612E+05
0000028   1.8943E+06 -3.0747E+05  4.7284E+05
0000029   1.8452E+06  8.2514E+04 -2.4696E+05
0000030   1.8529E+06 -4.4453E+05 -3.1953E+05
0000031   1.3221E+06 -2.5459E+05  7.8286E+04
0000032   1.5695E+06 -6.6208E+04  3.5179E+05
0000033   9.8596E+05  1.3536E+04 -6.4538E+05
0000034   1.1499E+06  3.3501E+05  4.7161E+04
0000035   1.4823E+05 -1.4008E+05 -2.5608E+04
0000036   1.1305E+06  1.5310E+05 -4.0081E+05
0000037   1.3825E+06  3.7918E+05  4.5545E+04
0000038   8.9849E+05 -1.8689E+05  1.6749E+04
0000039   1.7141E+06 -4.2182E+05 -3.2079E+05
0000040   1.4357E+06  3.0285E+05 -4.2962E+05
0000041   1.2948E+06 -5.8239E+05 -8.8264E+04
0000042   7.1394E+05  7.5647E+04 -3.1188E+05
0000043   1.3319E+06 -1.5306E+05  1.6711E+05
0000044   1.6702E+06  2.2300E+05  3.0911E+05
0000045   8.6095E+05  1.1051E+05  4.7460E+04
0000046   1.4460E+06  1.8146E+05 -6.2594E+04
0000047   1.4293E+06  5.9907E+05 -2.7798E+05
0000048   1.5901E+06 -1.4590E+05  3.9596E+05
0000049   7.8368E+05 -6.5120E+05 -1.1919E+06
0000050   1.4741E+06 -8.9477E+04 -2.3861E+05
0000051   1.4866E+06  2.8412E+05 -3.5787E+05
0000052   7.6813E+05  1.0833E+05  5.1485E+03
0000053   1.3310E+06  1.6330E+05 -1.2922E+05
0000054   1.1187E+06 -9.2849E+05  2.2977E+05
0000055   1.8908E+06 -2.3123E+05  7.3091E+03
0000056   1.5247E+06  3.0440E+04  1.4075E+05
0000057   1.4675E+06 -1.1155E+06 -4.9421E+05
0000058   9.0410E+05 -3.6091E+04 -4.6743E+05
0000059   1.3975E+06 -1.9162E+05  4.6492E+05
0000060   1.2504E+06  6.8084E+05 -1.3187E+04
0000061   4.5574E+05 -8.8288E+05  4.6096E+05
0000062   1.3374E+06  9.4902E+05 -3.7684E+05
0000063   6.0934E+05  1.7183E+05  7.4802E+04
0000064   1.2394E+06  2.7053E+05 -6.9096E+05
0000065   1.1377E+06  9.9841E+04  4.8586E+05
0000066   4.4625E+05  8.4765E+04  9.0738E+04
0000067   1.5187E+06 -1.3020E+05 -4.8175E+05
0000068   1.2856E+06 -4.2422E+05  1.4387E+05
0000069   1.5705E+06  2.8550E+05  2.2403E+05
0000070   1.6837E+06 -3.9333E+05  1.8081E+05
0000071   1.4622E+06  6.0080E+04  5.3202E+05
0000072   2.0895E+06  4.1374E+05  4.2052E+05
0000073   1.4851E+06 -1.1830E+04  1.3979E+05
0000074   1.0556E+06  7.8950E+05  4.3143E+05
0000075   1.3188E+06 -3.3559E+05  5.7277E+05
0000076   1.0390E+06 -3.1816E+04 -3.7869E+05
0000077   1.6357E+06 -6.9686E+05 -3.8344E+05
0000078   1.3706E+06  1.2698E+05 -5.0416E+05
0000079   1.5957E+06  1.9730E+04  2.5256E+05
0000080   1.6915E+06 -3.7395E+05 -3.7491E+05
0000081   1.5808E+06 -1.8011E+05  2.4557E+05
0000082   1.6650E+06  2.7305E+05 -1.7347E+03
0000083   5.6927E+05 -3.6140E+05 -2.3720E+05
0000084   1.6298E+06 -1.2079E+05 -6.8181E+05
0000085   1.6780E+06  4.4587E+05 -5.0207E+04
0000086   1.6276E+06  7.4175E+04 -5.5473E+04
0000087   1.6774E+06 -4.6848E+04 -1.5456E+05
0000088   2.0055E+06 -1.9098E+05 -1.3115E+05
0000089   1.4993E+06  3.2573E+05  7.0374E+04
0000090   7.9930E+05  3.4959E+04  6.6357E+05
0000091   1.3207E+06  1.5819E+05 -4.4497E+04
0000092   1.2749E+06 -6.7963E+05 -1.4409E+04
0000093   1.5418E+06 -1.9385E+05 -3.9264E+05
0000094   1.1704E+06 -6.1885E+05 -1.7979E+05
0000095   1.9245E+06  8.9170E+04  8.5832E+04
0000096   1.2276E+06  2.1757E+05  5.4231E+05
0000097   1.9059E+06  5.3581E+05 -3.8065E+05
0000098   1.1007E+06 -2.4669E+05 -7.0242E+04
0000099   1.2505E+06 -4.5436E+05  4.0673E+04
0000100   8.9462E+05 -1.3832E+04  2.9334E+05
0000101   1.2972E+06 -9.1596E+05 -6.6707E+05
0000102   1.5196E+06  2.0586E+05  4.3438E+05
0000103   8.4175E+05  5.9613E+05 -7.2095E+05
0000104   1.0026E+06  7.0827E+04 -7.9036E+05
0000105   1.6121E+06 -4.3387E+05 -7.9603E+05
0000106   6.1925E+05 -5.4194E+05 -7.5364E+04
