============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 4941713.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=500000.E+02 A
  Layer # 1 - Density =0000.0178 g/cm3
  Layer # 1 -  100 % of Ar
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.0381E+05 -9.7909E+04  5.9125E+02
0000002   9.2676E+04  1.0198E+05 -2.4708E+04
0000003   9.5264E+04  3.9291E+04 -2.4067E+03
0000004   3.4181E+04  3.3594E+04  1.3014E+04
0000005   1.2923E+05 -4.0365E+04  1.0024E+04
0000006   7.9514E+04 -9.1053E+04 -1.2594E+04
0000007   1.6211E+05  8.4602E+02 -2.3024E+04
0000008   1.4986E+05  1.5376E+04  2.2682E+04
0000009   6.2969E+04 -6.3861E+04 -6.2484E+04
0000010   4.8964E+04 -5.1469E+04 -1.5819E+04
0000011   1.3402E+05 -6.4476E+04 -7.2046E+04
0000012   9.1201E+04 -5.8004E+04  3.6265E+04
0000013   1.0069E+05 -2.2418E+04  2.3218E+03
0000014   5.0786E+04 -2.7548E+04 -3.1044E+03
0000015   1.8221E+05 -8.0022E+04 -4.0978E+04
0000016   6.8203E+04  4.2802E+04 -3.8484E+04
0000017   1.8511E+05  2.0997E+04 -7.1789E+04
0000018   9.0100E+04 -1.8972E+03  1.6926E+04
0000019   4.9054E+04 -6.8127E+04 -1.8478E+04
0000020   1.0694E+05 -4.9077E+04 -6.6048E+04
0000021   1.8171E+04 -4.1588E+04  1.1369E+04
0000022   2.1360E+04 -1.9717E+04  2.0374E+04
0000023   5.0623E+04  5.5465E+01 -4.4859E+04
0000024   1.4117E+05 -1.0073E+04  1.9322E+04
0000025   5.9311E+04  7.6580E+03  1.6931E+04
0000026   6.7041E+04  1.1758E+04  1.2935E+04
0000027   9.2360E+04  4.2533E+04  1.1069E+04
0000028   1.3891E+05  1.1884E+04  3.1009E+04
0000029   1.8450E+05 -1.0277E+05  8.2832E+04
0000030   8.2038E+04  4.9963E+04 -5.7691E+04
0000031   6.6844E+04  2.3058E+04 -2.8276E+04
0000032   1.7487E+05 -3.1863E+04  2.7591E+04
0000033   8.6228E+04 -2.7535E+04  1.7710E+04
0000034   1.4967E+05 -3.0174E+04 -1.2400E+04
0000035   1.8260E+05 -2.8805E+04  8.4286E+03
0000036   4.1770E+04 -9.1374E+03  2.4331E+04
0000037   1.1606E+05  3.1930E+04 -2.6502E+04
0000038   5.8753E+04  5.8540E+04  8.0732E+03
0000039   2.5086E+04 -5.9793E+03 -5.2567E+02
0000040   8.1985E+04 -7.8746E+04 -3.6025E+04
0000041   1.9836E+05  2.0232E+03 -8.5292E+03
0000042   1.2252E+05 -3.8909E+04 -9.3021E+04
0000043   3.9105E+04  3.9256E+04 -3.1109E+04
0000044   1.3868E+05  6.8122E+04 -1.1971E+04
0000045   8.5342E+04  7.2602E+04  1.0676E+04
0000046   4.1772E+04 -1.0970E+04 -1.6638E+04
0000047   4.6522E+04  1.5799E+04 -2.0229E+03
0000048   1.1773E+05  9.1303E+03  4.7797E+04
0000049   1.2170E+05  4.6262E+04 -1.2928E+04
0000050   3.3222E+04  4.8450E+03 -3.1862E+03
0000051   7.1047E+04 -4.9837E+04 -4.5273E+03
0000052   9.4675E+04  2.7722E+04 -1.1783E+04
0000053   6.3554E+04  1.8752E+04  4.7361E+04
0000054   1.4174E+05 -1.8639E+04  2.2856E+04
0000055   8.1557E+04  1.5079E+04  1.0082E+04
0000056   6.7803E+04 -3.2768E+04  5.1105E+03
0000057   1.0362E+05 -9.7687E+04  1.5276E+04
0000058   6.2078E+04  3.5840E+03  2.1168E+04
0000059   1.4097E+05 -5.1347E+04 -5.9578E+03
0000060   7.8323E+04  3.0305E+04 -3.1446E+04
0000061   9.0475E+04  4.6270E+04 -2.5854E+04
0000062   1.1390E+05  5.6976E+04 -1.1384E+04
0000063   1.3046E+05  4.2224E+04 -4.2823E+03
0000064   1.5810E+05  1.8100E+04 -1.8594E+04
0000065   1.0010E+05  6.4996E+04 -3.3334E+04
0000066   6.7300E+04  1.5927E+04  1.3971E+04
0000067   9.5104E+04 -9.2556E+03  2.0823E+04
0000068   8.1255E+04 -3.9020E+04  9.8977E+03
0000069   1.3809E+05 -8.4616E+02 -3.4051E+04
0000070   1.0835E+05 -3.2631E+04 -5.5179E+04
0000071   1.3681E+05 -2.2065E+04 -4.9932E+04
0000072   1.5378E+05 -6.2745E+04 -3.0556E+03
0000073   5.5660E+04  5.0426E+03  4.7907E+03
0000074   7.1407E+04 -1.6476E+04  1.9643E+03
0000075   5.9567E+04  9.1877E+03 -2.8042E+04
0000076   6.8874E+04  5.3425E+04 -1.8072E+04
0000077   1.1931E+05  4.3839E+04  1.2168E+04
0000078   1.0054E+05  2.7192E+03  3.4735E+04
0000079   1.3280E+05  1.2089E+04  4.1165E+04
0000080   1.0036E+05 -1.1866E+04  1.1835E+04
0000081   8.2160E+04 -5.0970E+03  3.0433E+04
0000082   1.0805E+05 -1.9184E+03 -7.0374E+04
0000083   7.6472E+04  4.4558E+03 -1.7954E+04
0000084   1.2726E+05 -1.5311E+04 -2.6527E+04
0000085   1.6703E+05  3.1818E+04 -1.5417E+04
0000086   9.8581E+04 -1.2927E+04  5.5778E+04
0000087   7.0813E+04 -1.3063E+04  1.5424E+04
0000088   6.6263E+04 -8.3231E+04 -1.5512E+04
0000089   1.3372E+05 -2.1508E+04 -3.7028E+03
0000090   5.6349E+04  9.2075E+04 -4.5504E+04
0000091   8.5019E+04  3.7768E+04  3.5969E+04
0000092   1.8453E+05 -4.5098E+04  9.1007E+04
0000093   6.2767E+04 -4.0037E+04 -4.1842E+04
0000094   4.9152E+04  1.9869E+04 -2.1470E+04
0000095   2.3524E+05  5.5581E+04  4.8263E+04
0000096   1.6752E+05 -4.2224E+04 -1.0044E+05
0000097   4.7952E+04 -9.5348E+03 -2.0648E+04
0000098   8.7726E+04 -7.1076E+04  7.9222E+04
0000099   1.2251E+05  2.3714E+04  1.4980E+04
0000100   3.5158E+04  5.3138E+04 -1.8978E+04
0000101   1.3843E+05 -3.3351E+04  5.1578E+04
0000102   8.9347E+04 -3.6832E+04  8.2565E+03
0000103   1.7350E+04 -8.7269E+03 -4.5411E+04
0000104   1.9914E+04  1.1962E+04 -2.9005E+03
0000105   1.7956E+04  1.4411E+03  1.1386E+03
0000106   1.9151E+05  2.2326E+03 -5.8639E+04
