============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 2222996.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=500000.E+02 A
  Layer # 1 - Density =0000.0178 g/cm3
  Layer # 1 -  100 % of Ar
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   3.2705E+05  3.2013E+05  2.6955E+05
0000002   5.5676E+05  1.9315E+05  3.9751E+04
0000003   7.1208E+05 -2.5198E+05 -1.8581E+05
0000004   6.1561E+05 -2.5024E+05  9.2136E+04
0000005   2.2603E+05 -8.7258E+04  1.5472E+05
0000006   3.0971E+05  1.9994E+05  1.1445E+05
0000007   4.4993E+05 -2.3186E+04  2.5716E+05
0000008   5.8136E+05  8.4350E+04  1.7295E+05
0000009   3.7101E+05 -3.0616E+04  3.9281E+04
0000010   3.5342E+05 -1.3939E+05 -1.5212E+04
0000011   2.7665E+05  9.3729E+04  6.2526E+03
0000012   2.9192E+05 -5.5374E+03 -2.8732E+04
0000013   4.6983E+05 -2.3432E+05 -8.8973E+03
0000014   7.2224E+05  1.6150E+05  2.8917E+04
0000015   5.3065E+05 -1.2627E+05 -1.6343E+05
0000016   2.5813E+05  1.5586E+04  1.4956E+04
0000017   4.8333E+05  7.4451E+04  3.1147E+05
0000018   3.3236E+05  7.0100E+04  4.6793E+04
0000019   4.2093E+05  2.4012E+05 -6.2038E+04
0000020   3.5546E+05  8.0680E+04 -1.2139E+05
0000021   4.8319E+05  9.9348E+04 -3.0169E+05
0000022   5.8039E+05 -8.6060E+04  9.3238E+04
0000023   4.1081E+05  1.8031E+05 -9.1444E+04
0000024   2.0811E+05 -2.5491E+04  9.7068E+03
0000025   3.8370E+05 -7.6157E+04 -7.8302E+04
0000026   5.9231E+05  3.0237E+05 -1.3406E+05
0000027   5.7990E+05 -1.2498E+05 -1.5131E+05
0000028   4.2319E+05  6.9016E+04 -1.3246E+05
0000029   4.1457E+05 -1.1970E+05 -2.8833E+05
0000030   3.7853E+05 -1.0532E+05 -8.3655E+04
0000031   4.9364E+05  6.4677E+04 -8.6393E+04
0000032   2.9153E+05  1.5562E+05 -5.7269E+04
0000033   4.8294E+05 -1.8125E+05  1.5263E+04
0000034   2.9225E+05 -1.7157E+05  2.2002E+04
0000035   6.2752E+05  2.8847E+05  1.9639E+05
0000036   4.1069E+05 -1.1838E+05  9.0485E+04
0000037   5.7235E+05 -1.9303E+05  8.7333E+04
0000038   4.2761E+05 -9.8159E+04 -1.2304E+05
0000039   4.4641E+05 -6.5222E+04 -2.6627E+05
0000040   8.0521E+04  1.0773E+04 -1.3527E+05
0000041   4.4500E+05  1.2275E+05 -1.8930E+05
0000042   1.9075E+05 -9.6990E+04  1.7948E+04
0000043   5.2627E+05 -3.4987E+05  1.6192E+03
0000044   2.4665E+05  2.5490E+04 -1.9795E+05
0000045   3.9697E+05 -4.4552E+04  1.6235E+05
0000046   6.8636E+05 -7.1694E+04 -5.9545E+04
0000047   5.9025E+05 -4.3637E+04  3.3052E+05
0000048   4.9001E+05 -1.8229E+05 -3.6541E+04
0000049   5.5085E+05 -1.3600E+04  2.0027E+05
0000050   6.3714E+04 -7.1775E+04 -1.8311E+04
0000051   4.3702E+05 -4.8859E+04  1.2330E+05
0000052   2.4760E+05  4.1082E+03  1.3681E+04
0000053   1.8724E+05 -1.3060E+05  1.6891E+05
0000054   5.0834E+05  4.1156E+04 -1.1193E+05
0000055   5.9558E+05  2.5480E+05  9.0531E+04
0000056   3.4264E+05 -2.3105E+05  1.7802E+05
0000057   5.1127E+05  1.9460E+05 -1.0615E+05
0000058   4.4324E+05 -1.5709E+05 -5.5388E+04
0000059   5.4636E+05 -5.3262E+04  7.2241E+04
0000060   6.9543E+05 -2.0309E+05  2.2118E+05
0000061   7.2604E+05  8.6269E+04  2.2434E+05
0000062   6.8862E+05  1.6823E+05  5.9901E+03
0000063   4.2005E+05 -7.9700E+04 -2.0357E+05
0000064   3.1103E+05 -3.6541E+04 -1.4508E+04
0000065   5.9617E+05  1.0018E+05  3.1408E+04
0000066   5.8551E+05 -2.0888E+05  1.0611E+05
0000067   3.1846E+05  1.0403E+05 -1.1075E+05
0000068   3.7150E+05  3.4922E+04 -2.1957E+05
0000069   4.8347E+05  1.6323E+04 -1.0208E+05
0000070   6.2000E+05 -2.0286E+05  3.7965E+05
0000071   4.1307E+05 -9.6817E+04  8.1506E+04
0000072   5.6298E+05  1.5505E+05  8.2126E+04
0000073   3.0199E+05  2.0015E+05  2.7608E+04
0000074   4.1368E+05  8.7705E+04 -1.8056E+05
0000075   6.4949E+05 -4.1386E+04  2.7436E+04
0000076   3.9660E+05  4.1592E+04 -9.7478E+04
0000077   3.6832E+05  1.9752E+05 -1.6472E+05
0000078   6.3639E+05 -3.5016E+05  8.0050E+04
0000079   2.3893E+05  4.1904E+04 -7.8996E+04
0000080   4.2674E+05  1.1240E+05  4.8526E+04
0000081   3.5675E+05 -3.2093E+04 -4.6859E+04
0000082   3.8810E+05 -2.5746E+05  1.6268E+05
0000083   3.8631E+05  9.6862E+04 -1.3858E+05
0000084   5.2553E+05 -9.9847E+03  2.1856E+05
0000085   1.4640E+05  2.5983E+04 -9.7907E+04
0000086   2.0232E+05 -2.4328E+04  1.3224E+05
0000087   3.5927E+05 -1.4494E+05  8.7231E+04
0000088   3.0453E+05  3.6710E+04  5.0711E+04
0000089   4.6268E+05  8.2059E+04  5.8013E+04
0000090   2.9426E+05 -1.8595E+04  3.3474E+04
0000091   2.0921E+05 -1.3755E+05 -7.3838E+04
0000092   4.4766E+05 -3.4052E+03 -7.0046E+04
0000093   6.0611E+05  2.7207E+04  2.3006E+04
0000094   3.9770E+05 -3.4704E+04  5.8971E+04
0000095   3.4945E+05  1.1438E+05  6.0751E+03
0000096   7.1726E+05  2.2257E+05  2.2235E+04
0000097   3.5544E+05 -6.1166E+04  3.2070E+04
0000098   5.6935E+05 -1.2127E+05  2.0413E+04
0000099   3.8814E+05 -2.7442E+04 -1.5191E+04
0000100   4.6602E+05 -1.2576E+05 -1.9215E+04
0000101   4.7053E+05 -1.7624E+04 -1.7165E+05
0000102   4.0772E+05  5.2031E+03 -4.1743E+04
0000103   7.6701E+05 -1.6248E+05 -1.9947E+05
0000104   2.8685E+05  2.2227E+04 -8.7382E+04
0000105   7.2751E+05 -1.3933E+05  9.8688E+04
0000106   4.7615E+05 -1.2380E+05 -3.7580E+04
