============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 3727594.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=500000.E+02 A
  Layer # 1 - Density =0000.0178 g/cm3
  Layer # 1 -  100 % of Ar
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   4.9938E+04 -8.2515E+04  2.3822E+04
0000002   1.4699E+05  3.7884E+04  5.0326E+03
0000003   6.3656E+04 -6.8597E+04  1.4434E+04
0000004   6.1756E+04  5.7897E+04 -5.7679E+03
0000005   9.7105E+04  4.0399E+04  4.7315E+02
0000006   1.4768E+04  2.2248E+02 -1.1227E+03
0000007   9.7248E+04 -4.3508E+04 -6.7675E+03
0000008   6.4931E+04 -3.9481E+04  1.6578E+04
0000009   1.1118E+05 -2.5521E+04 -7.3806E+03
0000010   1.0848E+05 -2.1482E+04 -5.0326E+04
0000011   1.0389E+05  6.0744E+04  3.4876E+03
0000012   7.7974E+04 -4.8237E+04 -7.5833E+03
0000013   1.2700E+05 -3.8464E+04  5.2994E+04
0000014   1.0677E+05  5.2858E+04  4.9963E+04
0000015   7.4292E+04 -5.0547E+03  3.0665E+03
0000016   9.8590E+04 -2.0969E+04 -5.6076E+04
0000017   8.8120E+04 -1.2400E+04  2.0901E+04
0000018   2.5153E+04  7.1463E+03  3.6316E+04
0000019   3.3433E+04 -1.7944E+03  1.9238E+04
0000020   6.5368E+04  2.1311E+04  7.8824E+02
0000021   1.2602E+05  5.8536E+04  1.2017E+04
0000022   1.1469E+05  2.5982E+04 -2.4082E+04
0000023   3.3230E+04 -1.0419E+05  4.7960E+03
0000024   1.0660E+05  2.1019E+04 -3.2723E+04
0000025   2.6628E+04  2.2190E+04  1.7886E+04
0000026   9.5496E+04 -2.3251E+04 -1.0371E+04
0000027   4.7094E+04  7.7744E+03 -3.2093E+04
0000028   3.2084E+04  5.0288E+02 -1.6197E+03
0000029   5.5807E+04 -1.0241E+04  2.0515E+04
0000030   8.7037E+04 -3.0732E+03  1.7610E+04
0000031   2.1559E+04 -1.0166E+04 -2.2851E+03
0000032   2.9794E+04 -2.1275E+04  2.4321E+04
0000033   4.4692E+04 -5.5407E+04 -4.0504E+04
0000034   5.6281E+04 -8.2396E+03 -7.8608E+02
0000035   1.8445E+05 -4.5221E+04 -3.5737E+04
0000036   5.0600E+04  1.4522E+04 -7.2105E+04
0000037   4.8403E+04  2.4665E+04  2.0773E+04
0000038   1.1780E+05  4.2771E+03  1.4894E+04
0000039   7.5987E+04  1.3629E+04 -8.6423E+03
0000040   8.0233E+04 -2.2998E+04 -4.3330E+04
0000041   1.5320E+05 -4.3063E+03  2.5319E+04
0000042   8.8366E+04 -2.4534E+04  5.9323E+03
0000043   3.2820E+04 -1.1597E+04 -2.1778E+04
0000044   4.9184E+04 -2.1111E+04  7.3601E+03
0000045   8.5888E+04  3.3234E+04 -6.9035E+03
0000046   4.3661E+04 -2.7518E+03  1.0558E+04
0000047   1.2236E+05 -1.6263E+04 -2.4708E+04
0000048   1.1237E+05  2.1190E+04 -4.9866E+04
0000049   4.8709E+04  4.8688E+03 -5.4665E+04
0000050   1.3800E+05  4.9722E+04 -1.4327E+03
0000051   3.9604E+04  1.9431E+04  4.5579E+04
0000052   1.1907E+05 -2.8768E+04  2.9799E+03
0000053   5.7026E+04 -1.3565E+04 -1.1097E+04
0000054   3.2080E+04 -8.7024E+03 -3.2880E+04
0000055   4.7892E+04 -2.6574E+04  1.2474E+04
0000056   8.2094E+04  1.5339E+04  3.1680E+04
0000057   5.3859E+04  7.8872E+03  6.2407E+04
0000058   5.0650E+04  3.8617E+04 -7.1475E+03
0000059   6.2812E+04  5.2831E+04  8.2034E+03
0000060   1.2354E+05 -1.8647E+04  9.7092E+03
0000061   1.4138E+05 -2.3008E+04  5.3496E+04
0000062   4.4030E+04  4.0024E+04 -8.2301E+03
0000063   7.1943E+04  5.5633E+04  6.8327E+04
0000064   1.3820E+05  1.8813E+04  3.2443E+04
0000065   8.4208E+04 -4.4376E+04  2.8240E+04
0000066   4.9754E+04 -1.9734E+04 -3.7383E+03
0000067   2.0784E+04  5.1904E+04 -2.4728E+04
0000068   1.0965E+05  9.7521E+02  2.0934E+04
0000069   3.2052E+04  7.6508E+03  2.5424E+03
0000070   3.0279E+04  3.0973E+04  1.2349E+04
0000071   1.3428E+05 -5.6783E+04 -4.6363E+04
0000072   8.5624E+04  6.0838E+04  6.8470E+04
0000073   4.0226E+04 -5.5003E+04 -6.5937E+04
0000074   8.2462E+04 -4.2375E+03  3.8447E+04
0000075   7.7795E+04 -2.8621E+04  1.0339E+04
0000076   1.0437E+05  3.4590E+04  2.0294E+04
0000077   2.7662E+04 -4.8426E+04  5.3540E+03
0000078   8.3930E+04 -6.7412E+04  3.7935E+04
0000079   7.7210E+04 -2.8144E+04 -6.4657E+04
0000080   1.1435E+05  2.5342E+04 -1.7625E+04
0000081   1.3009E+05  5.4446E+04  2.5304E+04
0000082   4.2860E+04  3.1284E+04 -7.7824E+04
0000083   1.6802E+04  3.0222E+03  6.3203E+03
0000084   7.6848E+04  4.9404E+03 -1.4645E+04
0000085   7.2575E+04 -2.0344E+04  7.8895E+03
0000086   1.0852E+05  4.0319E+04 -5.1306E+04
0000087   5.5144E+04  5.6950E+04 -1.2532E+04
0000088   2.0099E+04  4.0646E+04  2.2415E+04
0000089   1.2312E+05 -1.4717E+04 -2.9562E+04
0000090   1.7595E+04  4.4824E+03  1.0162E+04
0000091   9.9364E+04  4.4799E+03 -8.5965E+03
0000092   8.5677E+04  7.2036E+03 -1.9428E+04
0000093   4.7055E+04 -9.3107E+03 -6.6226E+03
0000094   2.4484E+04 -1.3805E+04 -8.4465E+03
0000095   3.7110E+04  9.7852E+03 -2.0725E+04
0000096   8.0148E+04 -2.8582E+04 -2.9414E+04
0000097   9.6165E+04  2.3271E+03  4.5868E+04
0000098   1.0768E+05  2.4928E+04  4.2380E+04
0000099   6.8682E+04 -2.3020E+03 -1.4542E+04
0000100   8.2240E+04 -4.4053E+04  4.4814E+04
0000101   7.4878E+04 -8.7218E+03 -2.3195E+04
0000102   7.0482E+04  2.3275E+04  2.7024E+04
0000103   2.4950E+04 -7.6405E+03 -6.0627E+04
0000104   5.5106E+04  5.4424E+04 -5.5269E+03
0000105   1.5140E+05  2.1505E+04 -1.8246E+04
0000106   7.9874E+04 -1.2446E+04  1.7074E+04
