============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 1264855.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=500000.E+02 A
  Layer # 1 - Density =0000.0178 g/cm3
  Layer # 1 -  100 % of Ar
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   3.1607E+05  1.2085E+05 -1.0758E+05
0000002   2.0054E+05 -6.0474E+04 -6.3044E+04
0000003   1.4625E+05 -6.4995E+02  1.4387E+05
0000004   4.5877E+05 -1.4180E+05 -8.4944E+04
0000005   1.8306E+05  4.7340E+04 -2.1323E+05
0000006   2.2699E+05 -9.9516E+04  1.0686E+05
0000007   2.9695E+05  2.6929E+04 -1.7575E+04
0000008   2.3642E+05 -2.1762E+04 -2.6429E+03
0000009   2.4624E+05 -2.5264E+03 -5.9436E+04
0000010   2.7601E+05  1.7397E+05  6.6458E+04
0000011   1.8222E+05  4.0207E+04  1.2494E+05
0000012   2.5710E+05 -3.9414E+04  2.6865E+05
0000013   2.6460E+05 -2.5911E+05  9.7330E+04
0000014   2.4278E+05 -1.1209E+05  3.0010E+04
0000015   2.4948E+05 -4.2486E+04 -1.0428E+05
0000016   1.4518E+05 -7.2814E+04 -2.2013E+04
0000017   2.3722E+05  2.6849E+05 -4.9782E+04
0000018   1.5329E+05 -1.5763E+04  7.0900E+03
0000019   3.2995E+05  2.1657E+04  2.7059E+04
0000020   2.7424E+05 -1.4770E+05  1.6622E+04
0000021   1.5920E+05  6.5398E+03  4.8437E+04
0000022   3.2252E+05 -2.8895E+03 -4.2190E+04
0000023   2.2519E+05 -1.9115E+04  1.4070E+05
0000024   3.3257E+05 -2.4482E+05 -1.0597E+05
0000025   2.2515E+05  3.1935E+04 -1.1106E+03
0000026   1.5082E+05 -6.9110E+04  5.8725E+03
0000027   1.5908E+05 -1.2742E+05 -9.2495E+03
0000028   2.3786E+05 -2.1078E+05  7.6079E+04
0000029   3.7296E+05 -4.2900E+03 -1.5197E+05
0000030   2.2295E+05  7.7341E+04  1.1239E+05
0000031   4.6644E+05  5.0680E+04 -6.0704E+04
0000032   4.4109E+04 -1.8030E+03 -3.9675E+04
0000033   3.9141E+05 -3.8696E+04  1.7044E+04
0000034   2.4269E+05  8.8254E+04  1.4010E+05
0000035   2.6981E+05  3.4250E+05  4.3547E+03
0000036   2.4728E+05 -4.9762E+04  2.7013E+04
0000037   4.2556E+05 -1.4043E+04 -8.1421E+04
0000038   2.6311E+05  6.8611E+04  8.3676E+04
0000039   1.7907E+05 -1.1705E+05  1.8617E+03
0000040   9.7640E+04 -4.8594E+03 -1.4768E+05
0000041   2.1087E+05 -3.0672E+04  4.9231E+04
0000042   4.3723E+05 -5.9944E+04  1.8315E+05
0000043   2.8576E+05 -9.0239E+04  4.6271E+04
0000044   3.5690E+05 -7.2332E+03 -1.2754E+05
0000045   1.3737E+05  1.5732E+05  6.9461E+04
0000046   2.6863E+05  5.8444E+04 -8.6929E+04
0000047   2.3256E+05 -1.1938E+05 -9.7681E+04
0000048   2.4131E+05 -2.7810E+04 -6.3029E+04
0000049   1.2107E+05 -8.3246E+04 -2.0237E+03
0000050   3.5070E+05 -2.3042E+04 -1.0255E+05
0000051   3.3046E+05 -8.9177E+04 -2.2856E+04
0000052   4.9548E+05 -2.3918E+04  1.6307E+04
0000053   1.6967E+05  2.4241E+04  4.5232E+04
0000054   3.4382E+05 -4.2344E+04 -2.4102E+05
0000055   3.4552E+05 -7.8443E+04 -8.7972E+04
0000056   1.3046E+05  9.0323E+04  2.5965E+04
0000057   2.4890E+04  4.2564E+03  1.8636E+04
0000058   3.9315E+05 -6.2087E+04  1.1880E+05
0000059   2.2270E+05  1.8874E+03  5.1720E+04
0000060   8.4115E+04 -6.9311E+03  4.1666E+04
0000061   3.9844E+05 -5.0215E+04 -6.8623E+04
0000062   3.6963E+05  2.4226E+04 -3.5704E+03
0000063   3.2479E+05 -1.6554E+04  7.4158E+04
0000064   3.1752E+05  6.1201E+04 -5.0641E+04
0000065   2.5487E+05 -9.6175E+04  1.1201E+04
0000066   1.9077E+05 -1.7400E+04 -6.5957E+04
0000067   1.1095E+05  7.7452E+04 -4.2516E+04
0000068   2.2384E+05  3.7561E+04  2.6896E+03
0000069   3.0854E+05 -4.6626E+04  2.9412E+03
0000070   1.1821E+05 -6.7265E+04 -9.3973E+04
0000071   3.5810E+05 -1.1146E+05 -3.8706E+04
0000072   2.0706E+05 -9.6822E+04 -6.7425E+04
0000073   2.8468E+05 -1.3515E+05  3.7440E+04
0000074   3.0785E+05 -4.5561E+04  1.4141E+05
0000075   3.3013E+05 -3.5034E+04  1.3859E+05
0000076   1.7409E+05 -9.6094E+04 -1.6194E+05
0000077   3.3594E+05  7.5831E+04 -2.1030E+04
0000078   3.5014E+05  9.4376E+04  4.3017E+04
0000079   2.1041E+05 -3.6285E+04  9.5949E+04
0000080   3.5018E+05  9.0731E+04  1.5295E+04
0000081   3.8278E+05  1.7709E+04 -1.6840E+05
0000082   2.3370E+05  4.4506E+04 -7.7745E+04
0000083   2.5954E+05 -4.1685E+04  3.3740E+04
0000084   3.2870E+05  3.1810E+04  7.6611E+04
0000085   3.4081E+05 -1.6378E+04 -5.1681E+04
0000086   1.5565E+05  2.6349E+04 -2.5164E+04
0000087   2.5405E+05 -6.4981E+04  4.6213E+03
0000088   1.2842E+05  6.1611E+04 -3.7816E+04
0000089   1.8002E+05  1.4111E+05  6.1790E+04
0000090   3.2770E+05  9.6268E+04  4.0008E+04
0000091   3.0927E+05  1.0256E+05 -3.4866E+04
0000092   3.2580E+05  1.0458E+05  1.4794E+04
0000093   1.8205E+04  6.4678E+04  6.3422E+04
0000094   4.2622E+05  1.6210E+03  9.6817E+03
0000095   3.0371E+05 -6.2903E+04 -4.1370E+04
0000096   1.8058E+05 -2.2242E+04 -8.2583E+04
0000097   3.2738E+05  3.1130E+04 -1.5867E+05
0000098   7.9437E+04 -5.2057E+04  3.9872E+04
0000099   1.7927E+05  1.3482E+04  5.6133E+04
0000100   7.6462E+04  3.0381E+04  2.1761E+04
0000101   3.5534E+05 -1.5586E+05  5.2610E+04
0000102   2.4734E+05 -7.7757E+04 -1.6161E+05
0000103   7.0217E+04  4.0074E+04  7.0020E+02
0000104   2.3442E+05 -3.2183E+04 -1.6907E+05
0000105   2.8321E+05  6.2583E+04  9.4164E+04
0000106   2.3350E+05 -1.6621E+05  1.6910E+05
