============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 1264855.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=500000.E+03 A
  Layer # 1 - Density =0000.0002 g/cm3
  Layer # 1 -  100 % of Ar
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   3.1607E+07  1.2087E+07 -1.0758E+07
0000002   2.0546E+07  7.9862E+06  7.1039E+05
0000003   1.1389E+07  1.4182E+07 -1.0558E+07
0000004   4.8458E+07 -2.6651E+06  1.4221E+07
0000005   1.2909E+07  1.3574E+07 -3.5349E+06
0000006   1.7447E+07  5.8484E+06 -1.5381E+07
0000007   3.2137E+07 -4.0275E+06 -8.5759E+05
0000008   6.6525E+06  4.1040E+06  4.5736E+06
0000009   1.9780E+07  6.7104E+05  4.1156E+06
0000010   3.6610E+07 -5.7629E+06 -5.4087E+06
0000011   2.1034E+07 -6.2691E+06 -6.1687E+06
0000012   1.8530E+07 -4.7253E+06  4.7141E+06
0000013   3.4230E+07  1.4475E+07 -1.1575E+07
0000014   8.0418E+06 -5.5705E+06  6.9997E+06
0000015   1.2954E+07 -8.4885E+04  2.0219E+06
0000016   1.8615E+07 -9.8825E+05 -3.0064E+06
0000017   2.8283E+07 -6.7268E+06 -5.0507E+06
0000018   9.5170E+06  3.4255E+06  1.1035E+06
0000019   2.5201E+07  2.1223E+06 -4.1207E+06
0000020   3.0354E+07 -1.8076E+07 -1.7184E+07
0000021   9.5535E+06 -6.2220E+05 -1.7646E+06
0000022   2.4127E+07 -9.3763E+06  1.0592E+07
0000023   2.4320E+07 -1.4504E+07 -4.8879E+06
0000024   1.4743E+07  5.9941E+06 -2.8393E+06
0000025   1.9538E+07  1.0644E+07  2.5864E+06
0000026   4.1648E+06  5.1897E+06  6.0459E+06
0000027   2.7848E+07 -1.9823E+07 -4.1745E+06
0000028   2.5012E+07 -8.2518E+06  1.2164E+06
0000029   5.7955E+06 -4.4153E+06 -2.3123E+06
0000030   2.1900E+07 -1.4198E+07 -1.4155E+06
0000031   2.0278E+07 -1.4983E+07  1.0626E+06
0000032   1.3916E+07 -1.9619E+06 -7.0324E+06
0000033   2.7745E+07 -1.9992E+07 -4.5665E+06
0000034   2.5341E+07 -9.2823E+05  1.1083E+07
0000035   4.3926E+07 -6.6144E+06 -7.1648E+06
0000036   3.2180E+07  1.2007E+07  1.3094E+07
0000037   2.0744E+07 -1.3242E+06 -3.1922E+06
0000038   4.8156E+07 -4.0430E+06  3.3606E+06
0000039   2.2080E+07 -7.2494E+06 -3.1748E+06
0000040   2.6307E+07  1.1885E+06  9.9002E+06
0000041   3.3140E+07 -1.0235E+07 -3.9317E+06
0000042   3.7312E+07  1.2537E+06 -1.5117E+07
0000043   1.5216E+07 -1.0457E+07  9.0385E+06
0000044   1.2304E+07  7.2894E+06  3.4430E+06
0000045   1.8624E+07  1.7075E+06  4.7377E+06
0000046   3.9601E+07 -2.7621E+05  2.1584E+07
0000047   2.2193E+07 -6.4703E+06 -3.6359E+05
0000048   1.7989E+07  5.6792E+06 -6.1344E+06
0000049   1.9668E+07  1.2552E+07  1.7437E+07
0000050   3.3727E+07 -1.1263E+07 -1.4825E+07
0000051   3.5115E+07  1.1931E+07 -9.8601E+06
0000052   2.5954E+07  5.7223E+06  1.4945E+07
0000053   2.3668E+07 -1.3548E+07  3.4944E+06
0000054   4.0817E+07  9.0358E+06  2.1935E+07
0000055   1.0498E+07  2.8832E+06 -2.0533E+06
0000056   4.6216E+07 -2.6939E+06  1.0485E+06
0000057   2.5425E+07 -2.6604E+06  3.6750E+06
0000058   6.3832E+06 -1.3066E+06 -5.8836E+06
0000059   3.5426E+07  8.7461E+06  6.6002E+06
0000060   1.3205E+07  2.2041E+06  4.6933E+06
0000061   1.6824E+07  1.0321E+07 -1.1460E+07
0000062   8.0051E+05  2.0338E+05 -7.3630E+05
0000063   1.9229E+07  1.7183E+06  5.8906E+06
0000064   2.8446E+07 -1.9723E+06 -7.6327E+06
0000065   2.4073E+07  7.8514E+06  8.6970E+05
0000066   2.3385E+07  2.7558E+06  3.8800E+06
0000067   1.3957E+07  1.4292E+07 -2.1080E+07
0000068   2.1620E+07 -1.2314E+07  5.6288E+06
0000069   2.5217E+07 -2.3630E+06 -5.2337E+06
0000070   3.2939E+06  1.0561E+07 -1.6067E+06
0000071   2.4578E+07  5.2909E+06  1.3016E+07
0000072   1.4477E+07 -5.4642E+06  5.6822E+06
0000073   3.7829E+06 -3.2428E+04 -7.6312E+06
0000074   2.3886E+07 -1.5971E+06 -4.7448E+06
0000075   2.0064E+07 -5.9121E+06 -6.9072E+06
0000076   8.7983E+06  4.9972E+05  4.3052E+06
0000077   1.8350E+07  3.9848E+05 -1.5466E+06
0000078   2.5754E+07 -8.8263E+06 -6.5105E+06
0000079   3.7289E+07  6.3623E+06 -4.3156E+06
0000080   2.3228E+07 -2.5489E+07 -4.1710E+06
0000081   4.8043E+07 -6.2334E+06  3.0119E+06
0000082   1.0713E+07 -8.5252E+06 -9.5375E+06
0000083   3.4119E+07  7.9920E+05 -2.1709E+07
0000084   1.3997E+07  1.2702E+07  1.7487E+07
0000085   2.7766E+07 -8.2361E+06 -7.1154E+06
0000086   4.2105E+07  4.5015E+06 -1.5832E+06
0000087   1.6649E+07 -5.6264E+06  2.4047E+06
0000088   3.3351E+07 -2.0312E+07 -7.4603E+05
0000089   2.3835E+07 -1.1562E+07  6.0919E+06
0000090   2.5766E+07  1.3289E+07 -5.3800E+06
0000091   2.8030E+07 -4.8334E+06 -9.4620E+06
0000092   2.9686E+07 -8.7891E+06  1.2356E+07
0000093   1.6118E+07 -1.1806E+07 -2.9606E+06
0000094   2.5925E+07 -1.7659E+06 -3.9854E+06
0000095   4.1769E+07 -6.7068E+06 -8.7825E+06
0000096   1.4970E+07  1.0108E+07  1.1289E+07
0000097   2.7532E+07  1.1512E+07  1.0509E+07
0000098   2.4501E+07 -8.1100E+06 -1.2581E+06
0000099   9.7264E+06  7.7039E+05  7.6453E+05
0000100   3.4004E+07  6.0997E+06 -7.0818E+06
0000101   1.6890E+07 -8.9995E+06 -1.0649E+07
0000102   1.6090E+07  5.5771E+06 -2.8764E+06
0000103   2.7431E+07  1.8939E+07 -7.0404E+06
0000104   2.9976E+07 -3.7945E+06 -8.2519E+06
0000105   2.1926E+07  1.8476E+06  1.1046E+07
0000106   1.1841E+07  1.6899E+06  2.9460E+06
