============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 4094915.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=500000.E+03 A
  Layer # 1 - Density =0000.0002 g/cm3
  Layer # 1 -  100 % of Ar
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   8.4433E+06  1.5490E+06  2.8562E+06
0000002   8.4236E+06 -4.4471E+06 -3.6290E+06
0000003   7.3846E+06 -4.8649E+06  3.6096E+06
0000004   3.9815E+06 -8.5352E+05  1.4964E+06
0000005   7.4032E+06 -5.8385E+06  7.5354E+05
0000006   1.1046E+07 -1.9401E+06 -1.1185E+06
0000007   1.2016E+07  1.9422E+05 -1.4676E+06
0000008   9.7491E+06  2.5714E+06  2.5044E+06
0000009   1.1775E+07  4.3638E+05  3.9652E+04
0000010   4.9042E+06  3.5156E+06 -2.5285E+06
0000011   8.7264E+06  2.5568E+06  1.7367E+06
0000012   1.2349E+07  1.3351E+05  3.9939E+05
0000013   7.0898E+06  2.0726E+06 -8.9315E+05
0000014   1.3014E+07 -5.0248E+06 -6.5566E+06
0000015   3.6747E+06  4.9609E+05 -9.5761E+05
0000016   7.3983E+06 -2.1779E+06  1.6310E+05
0000017   7.8471E+06 -3.4828E+06 -2.4419E+06
0000018   9.2053E+06  5.0915E+06 -1.5449E+06
0000019   4.5394E+06 -2.4317E+06  5.2523E+05
0000020   3.8162E+06  2.7639E+06 -1.8610E+06
0000021   4.9492E+06  2.3195E+06 -1.8290E+05
0000022   6.9641E+06 -3.5845E+06 -2.9813E+05
0000023   5.8358E+06 -2.7792E+06 -2.1709E+06
0000024   9.1384E+06  9.7276E+05  1.3536E+05
0000025   9.2134E+06 -1.0328E+07 -1.9825E+06
0000026   1.0802E+07 -4.9463E+06 -3.1615E+06
0000027   5.4746E+06 -1.9268E+06  1.2576E+06
0000028   9.3941E+06  1.4151E+06  2.6760E+06
0000029   9.8537E+05  1.4341E+06  1.1292E+06
0000030   8.8049E+06 -4.9094E+05 -4.6039E+05
0000031   4.9258E+06  8.7914E+05 -2.1441E+06
0000032   8.9513E+06 -9.4769E+05  2.5815E+06
0000033   8.8728E+06 -1.6272E+06 -6.3341E+05
0000034   1.0368E+07  3.8759E+06 -4.2052E+06
0000035   1.1671E+07  2.3496E+06  2.0335E+06
0000036   9.1900E+06 -7.1785E+05 -1.7646E+06
0000037   6.5488E+06 -2.7152E+06  2.4166E+06
0000038   9.0960E+06  5.2901E+06 -2.6095E+06
0000039   7.2951E+06 -2.2798E+06  7.4068E+06
0000040   7.2549E+06  3.5060E+05 -1.3002E+06
0000041   2.4688E+06  5.3090E+05 -3.9231E+06
0000042   1.8950E+07  2.5651E+06  5.4709E+06
0000043   5.8927E+06 -1.5813E+06  2.0356E+06
0000044   5.1952E+06  2.1309E+06 -1.6567E+05
0000045   3.4975E+06 -5.5542E+06 -1.1741E+06
0000046   8.4796E+06  3.5227E+06 -5.1972E+06
0000047   1.5678E+07 -1.5808E+06  3.0746E+06
0000048   9.1570E+06  1.9012E+06  6.8473E+06
0000049   6.7670E+06  8.7188E+05  3.5871E+06
0000050   1.4032E+07  6.1084E+06  1.5450E+06
0000051   4.3161E+06 -2.7517E+06 -1.0465E+06
0000052   1.1945E+07 -7.1226E+06  1.5280E+06
0000053   9.3228E+06  1.7430E+06  1.0911E+06
0000054   8.5534E+06  1.1235E+06 -2.5777E+06
0000055   8.9661E+06  2.9676E+06 -4.4979E+06
0000056   9.7925E+06 -4.1664E+06  5.8979E+06
0000057   6.9781E+06 -1.1256E+06 -2.0999E+06
0000058   1.1422E+07 -3.4198E+06 -6.1397E+06
0000059   1.0535E+07  1.4431E+05 -5.8610E+06
0000060   9.6305E+06  2.9764E+06 -4.3766E+06
0000061   5.9679E+06  4.9541E+06 -4.2361E+06
0000062   1.4466E+06 -1.8041E+04  6.1546E+05
0000063   7.4957E+06 -1.1341E+06  1.6546E+06
0000064   1.5340E+07 -2.6900E+06 -3.4769E+06
0000065   5.6726E+06 -3.1450E+06 -4.8669E+06
0000066   1.0322E+07 -5.4445E+06  2.9556E+06
0000067   7.7254E+06 -2.4942E+06  2.5707E+06
0000068   7.4921E+06 -1.5174E+06 -2.2743E+06
0000069   6.0638E+05 -5.6428E+06 -5.9001E+04
0000070   8.7556E+06  6.6535E+06 -3.2643E+06
0000071   8.9190E+06  8.9173E+06 -3.1679E+06
0000072   2.9601E+06 -1.0147E+06  8.6102E+05
0000073   1.2881E+07 -2.4948E+06  6.0986E+06
0000074   3.9508E+06 -2.2283E+06 -8.4007E+05
0000075   9.3068E+06 -2.1420E+06 -3.1625E+06
0000076   6.9730E+06  4.7095E+05  5.4458E+06
0000077   4.9042E+06  9.3141E+05 -2.1108E+06
0000078   5.8154E+06 -2.2738E+06  1.6775E+06
0000079   1.5565E+06  6.4405E+05 -1.9500E+06
0000080   9.9120E+06  9.2068E+05  9.9841E+03
0000081   1.1474E+07 -5.2741E+05  6.7613E+06
0000082   5.8388E+06  6.3155E+06 -8.2218E+05
0000083   1.8829E+06 -2.5057E+05  7.4921E+05
0000084   1.1755E+07 -4.0534E+06  3.0053E+06
0000085   7.5386E+06 -1.3615E+05 -1.2098E+06
0000086   7.4161E+06 -4.5069E+06 -1.0191E+06
0000087   6.6060E+06 -3.5794E+06  9.9711E+04
0000088   6.6782E+06 -7.0125E+06  4.7508E+06
0000089   1.1721E+07 -1.3028E+06  7.0337E+05
0000090   3.5963E+06  3.8644E+05  7.5578E+05
0000091   3.1027E+06 -1.1774E+06 -9.6622E+05
0000092   1.2168E+07 -4.4736E+06 -2.2894E+05
0000093   5.3099E+06  6.0923E+04  6.1532E+05
0000094   1.5118E+06 -1.1623E+06  5.1597E+05
0000095   1.1750E+07 -3.0461E+06  8.9936E+05
0000096   1.4543E+07  5.0284E+05  3.5112E+06
0000097   1.3614E+07  1.5198E+06  5.0563E+06
0000098   6.9079E+06  9.6408E+05 -5.4048E+06
0000099   1.4639E+07 -9.4211E+04 -1.0484E+06
0000100   8.5950E+06 -1.0190E+06 -2.9773E+06
0000101   5.9806E+06  4.0042E+06 -7.0799E+06
0000102   9.4471E+06 -2.1021E+06  5.0988E+06
0000103   1.5359E+07 -8.7036E+06 -5.7098E+06
0000104   5.0210E+06 -5.3886E+06 -4.1770E+04
0000105   2.9709E+06 -2.4564E+06  4.3999E+06
0000106   2.0443E+07  6.2864E+06 -5.7647E+06
