============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 9102982.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=500000.E+02 A
  Layer # 1 - Density =0000.0018 g/cm3
  Layer # 1 -  100 % of Ar
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   2.0588E+07 -9.2453E+06  5.4203E+06
0000002   1.2099E+07 -4.0556E+05  2.5777E+06
0000003   1.4978E+07 -3.7922E+06 -5.3424E+06
0000004   1.9995E+07 -1.7369E+06 -6.9919E+06
0000005   1.9654E+07 -4.4805E+06  1.9072E+06
0000006   1.6628E+07  2.0373E+05  1.0820E+06
0000007   1.8136E+07 -2.7593E+06 -7.3076E+06
0000008   2.1044E+07 -7.3499E+06 -7.2763E+06
0000009   1.9283E+07 -3.3167E+06  8.7087E+06
0000010   1.8293E+07  4.9304E+06  8.1722E+06
0000011   6.0293E+06  1.9825E+06  4.0288E+06
0000012   1.7935E+07 -4.0824E+06  6.3006E+06
0000013   1.8938E+07  2.1794E+06  5.6948E+06
0000014   1.8100E+07  1.5591E+06  7.1517E+05
0000015   1.6490E+07 -1.8617E+06  4.9026E+05
0000016   1.5796E+07 -4.5870E+06 -1.9788E+06
0000017   1.4376E+07 -4.0209E+06 -7.5709E+06
0000018   1.3979E+07  2.2137E+06  1.6026E+06
0000019   1.5799E+07  4.9435E+05 -1.1043E+07
0000020   8.5605E+06 -4.0363E+06  2.6538E+06
0000021   1.7320E+07  3.0996E+06 -2.1706E+06
0000022   1.1744E+07  1.0369E+07  2.4390E+05
0000023   1.8529E+07 -4.0249E+06 -1.4780E+06
0000024   1.4990E+07 -3.9231E+06 -3.7087E+06
0000025   9.3352E+06  2.8605E+06 -8.2486E+06
0000026   1.7148E+07 -5.1752E+06  8.9212E+04
0000027   1.3878E+07 -1.3984E+06 -6.9541E+06
0000028   2.0679E+07 -2.1171E+05  2.2127E+06
0000029   1.3314E+07 -1.0645E+07  8.2777E+05
0000030   1.4506E+07  4.3109E+06 -3.7304E+06
0000031   1.7134E+07  2.9372E+06  1.8035E+06
0000032   1.9641E+07  2.8826E+06 -7.8565E+06
0000033   1.5425E+07 -4.4809E+06 -2.9986E+06
0000034   1.7451E+07 -4.3158E+06 -1.8771E+06
0000035   1.0294E+07  1.1337E+06  2.0405E+05
0000036   1.8715E+07 -1.4631E+05  1.1624E+06
0000037   1.3847E+07 -7.3872E+05 -1.2643E+06
0000038   2.0326E+07  3.0624E+06 -5.1240E+06
0000039   1.8566E+07 -8.7083E+06 -2.7223E+06
0000040   1.7724E+07 -5.0189E+05 -2.6251E+06
0000041   8.9136E+06 -7.9833E+05 -8.5718E+06
0000042   2.0385E+07  3.8607E+05  8.5285E+05
0000043   1.4256E+07  1.2519E+06  3.0479E+06
0000044   1.4948E+07  9.8251E+06 -4.2733E+06
0000045   1.6005E+07  1.2926E+06  5.2818E+06
0000046   9.6727E+06 -7.1226E+05  1.2860E+06
0000047   1.4149E+07  1.0138E+07  2.8216E+06
0000048   2.0971E+07  2.3372E+06  1.3718E+06
0000049   2.0592E+07 -2.7566E+05 -5.7048E+06
0000050   2.2608E+07 -4.3180E+06  3.3859E+06
0000051   1.7551E+07  5.2630E+06 -3.6822E+05
0000052   1.9666E+07 -2.3448E+06 -5.5428E+06
0000053   1.7000E+07 -9.3405E+05 -4.0929E+06
0000054   1.8319E+07  5.0389E+06  8.3408E+05
0000055   2.0721E+07 -4.6527E+06 -2.5593E+06
0000056   7.5763E+06 -9.2588E+06  2.6194E+06
0000057   1.2012E+07  2.6300E+06 -2.0750E+06
0000058   1.0268E+07 -8.5016E+06  3.3972E+06
0000059   1.3449E+07 -8.3585E+05  2.5452E+06
0000060   1.6111E+07  1.5791E+06 -1.6674E+06
0000061   4.1903E+06  1.1094E+06 -2.3320E+06
0000062   2.3882E+07  1.1770E+06  1.7093E+06
0000063   1.4994E+07  1.2303E+06  1.3660E+05
0000064   1.4431E+07  2.0260E+06 -1.3979E+05
0000065   1.6717E+07 -1.3992E+06 -2.1355E+06
0000066   1.4765E+07 -1.9029E+06 -7.2156E+05
0000067   1.6576E+07 -1.4458E+06  3.7081E+06
0000068   1.9191E+07  9.7991E+06  1.6371E+06
0000069   2.0166E+07 -1.9911E+06  2.2091E+06
0000070   1.4273E+07  5.8455E+06 -2.0940E+06
0000071   1.7221E+07 -2.8486E+06 -1.3583E+06
0000072   1.3422E+07  6.5410E+06  7.9166E+06
0000073   1.7908E+07 -1.5454E+06  8.3748E+06
0000074   1.7944E+07 -2.4804E+06  5.0443E+06
0000075   1.8394E+07  2.4381E+06  9.6433E+06
0000076   2.1484E+07  4.9322E+06 -2.7893E+05
0000077   1.5939E+07 -5.6010E+06 -4.4800E+06
0000078   1.8065E+07  9.2314E+06  9.8816E+05
0000079   1.6677E+07  2.8975E+06  2.5420E+06
0000080   1.2347E+07  8.9440E+05  1.4380E+06
0000081   2.0999E+07 -1.7934E+06 -3.5020E+05
0000082   1.6770E+07 -2.5700E+06 -5.5570E+06
0000083   2.0399E+07  2.2562E+06 -3.0012E+06
0000084   1.4859E+07  3.0699E+06 -4.9561E+06
0000085   1.6450E+07 -7.3382E+06  5.0832E+06
0000086   1.7650E+07 -4.0190E+06  5.9286E+06
0000087   1.8676E+07  1.7100E+06  2.1714E+06
0000088   1.3798E+07  6.0269E+06 -3.2501E+06
0000089   1.9567E+07  3.8043E+06 -3.3682E+06
0000090   1.8693E+07 -4.2463E+06 -1.1404E+06
0000091   2.1588E+07 -4.6437E+06 -2.0961E+06
0000092   1.5257E+07 -1.9048E+05 -3.6078E+06
0000093   1.7615E+07  5.5515E+06 -4.6220E+05
0000094   1.8934E+07  3.8175E+05  5.3405E+05
0000095   1.7331E+07 -3.0590E+06  3.8149E+06
0000096   1.6508E+07 -2.1131E+06  3.7412E+06
0000097   1.4654E+07  5.6149E+06 -7.0435E+05
0000098   9.0662E+06 -4.7606E+06 -3.1008E+06
0000099   2.0324E+07  2.9897E+06 -3.4915E+06
0000100   1.6935E+07  1.8784E+06  1.1185E+06
0000101   2.4389E+07  2.3540E+06 -3.2823E+06
0000102   1.5830E+07  9.3604E+05  8.8844E+06
0000103   2.4954E+07  6.0813E+06 -2.3819E+06
0000104   1.8359E+07 -2.7531E+06 -6.8624E+06
0000105   1.9970E+07 -2.3803E+06  4.9650E+06
0000106   1.5271E+07 -6.9186E+06  9.7553E+06
