============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 3556480.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=500000.E+02 A
  Layer # 1 - Density =0000.0018 g/cm3
  Layer # 1 -  100 % of Ar
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   9.9407E+06  1.1009E+06  8.4883E+05
0000002   4.6203E+06  3.8896E+05  7.5587E+05
0000003   9.9103E+06 -7.4586E+05  7.0643E+05
0000004   8.0670E+06  1.2656E+05 -1.5944E+06
0000005   8.2516E+06 -1.6167E+06  1.5687E+06
0000006   8.0380E+06  1.8223E+06  3.6745E+06
0000007   8.8831E+06  3.9987E+05  5.0453E+06
0000008   9.4400E+06  1.2240E+06 -1.6363E+05
0000009   6.4816E+06  1.0043E+06  2.3154E+05
0000010   5.7850E+06 -5.0153E+05  4.1364E+06
0000011   9.3624E+06 -1.7933E+06 -1.0281E+06
0000012   5.5135E+06 -1.2696E+06 -2.8662E+06
0000013   6.5837E+06  2.8094E+06  9.3268E+05
0000014   8.7832E+06  3.1039E+04  8.8300E+04
0000015   6.4912E+06  1.4198E+05 -1.9345E+06
0000016   3.8633E+06 -1.3175E+06 -3.0937E+06
0000017   6.7781E+06  1.9317E+06 -3.5639E+05
0000018   8.7270E+06  3.8515E+05 -1.8519E+06
0000019   1.0175E+07  3.6700E+05 -3.1843E+06
0000020   4.9782E+06  1.9161E+06  9.7829E+05
0000021   1.2273E+07  1.8047E+06 -5.1022E+05
0000022   3.8973E+06 -1.3519E+04  2.8728E+04
0000023   8.6628E+06 -3.9834E+05 -5.8768E+05
0000024   7.4004E+06 -1.7630E+06 -3.0173E+05
0000025   8.4222E+06 -1.9100E+06  7.2229E+05
0000026   1.1666E+07  8.4237E+05  2.4981E+06
0000027   9.0777E+06 -4.9263E+06 -2.7083E+06
0000028   7.5268E+06 -1.2844E+06  1.8598E+06
0000029   8.4992E+06  4.3560E+06 -2.2600E+06
0000030   5.9906E+06 -5.4880E+05  2.7727E+06
0000031   3.1143E+05 -3.2581E+05  1.4562E+06
0000032   3.7056E+06  8.8468E+05  2.0465E+06
0000033   8.8996E+06 -4.6547E+04 -2.4909E+06
0000034   6.4016E+06 -9.0080E+05 -2.6017E+05
0000035   7.4992E+06 -1.5446E+06 -4.1713E+06
0000036   1.0473E+07 -1.5559E+06  2.3722E+06
0000037   9.6483E+06 -2.5992E+06  1.1388E+06
0000038   7.7750E+06 -2.0324E+06  1.1744E+06
0000039   5.2418E+06 -1.4915E+06  2.6967E+06
0000040   6.4671E+06 -1.8730E+06  1.6168E+06
0000041   8.7980E+06  1.8995E+06 -2.4300E+06
0000042   4.8355E+06 -4.1318E+05 -4.7101E+06
0000043   1.0730E+07 -1.3565E+06 -1.2079E+06
0000044   6.1407E+06 -2.2273E+04 -3.8779E+06
0000045   1.0903E+07  7.0109E+05 -9.2361E+05
0000046   7.1976E+06 -4.7430E+05  2.2047E+05
0000047   1.0213E+07 -7.2640E+05 -3.0466E+05
0000048   2.5464E+06 -2.2390E+06 -2.2521E+06
0000049   2.5491E+06 -3.4400E+06  9.7006E+05
0000050   8.5810E+06  5.1998E+06 -4.7714E+06
0000051   2.5471E+06 -4.8162E+05 -1.0512E+06
0000052   6.6193E+06  9.2079E+05 -3.1225E+05
0000053   1.0570E+07 -3.7823E+06  7.8113E+05
0000054   3.3693E+06 -5.0642E+04 -8.2102E+05
0000055   8.8845E+06 -1.2124E+05 -2.0685E+06
0000056   7.6187E+06  9.2262E+05 -1.5268E+06
0000057   6.1668E+06 -4.1911E+05  2.5454E+05
0000058   6.9115E+06  6.0975E+04  7.9282E+05
0000059   7.9793E+06  2.7420E+06 -7.4133E+05
0000060   9.8803E+06 -5.5041E+05  4.8185E+06
0000061   3.8501E+06 -1.2876E+06  2.3709E+06
0000062   9.5424E+06 -5.5859E+05 -2.0232E+06
0000063   6.8542E+06 -2.7307E+05 -4.4204E+06
0000064   1.2005E+07 -2.1200E+06 -7.4665E+05
0000065   9.0745E+06 -1.9990E+06  1.1205E+06
0000066   6.0122E+06  1.3797E+06  3.4430E+06
0000067   6.3467E+06  3.8923E+05 -1.4715E+06
0000068   2.8683E+06  2.0626E+06 -7.3898E+05
0000069   3.5356E+06 -1.5166E+05  1.7577E+06
0000070   1.2241E+07  2.1783E+06 -1.5600E+05
0000071   7.2437E+06  2.2409E+06  7.6032E+05
0000072   5.0441E+06  2.1857E+06  2.7732E+05
0000073   8.4689E+06 -2.8198E+06 -2.6413E+06
0000074   8.3375E+06  2.1675E+06 -1.8837E+06
0000075   8.9100E+06 -2.4926E+05  1.3638E+05
0000076   8.6441E+06 -2.2208E+05 -2.5729E+06
0000077   3.9826E+06  6.2954E+05 -5.7487E+05
0000078   4.5843E+06  4.2492E+05 -5.8520E+05
0000079   8.2002E+06  2.3075E+06 -1.1067E+06
0000080   6.1122E+06  1.9421E+06 -2.7436E+04
0000081   1.0293E+07  7.8067E+05 -1.0159E+06
0000082   9.3527E+06  4.0273E+05 -1.1196E+06
0000083   5.2852E+06  6.7786E+05 -1.1169E+06
0000084   1.0085E+07  5.6921E+05 -1.0345E+06
0000085   1.1517E+07  3.5987E+05  3.1900E+06
0000086   7.9160E+06  1.5728E+06  5.3741E+06
0000087   6.9891E+06 -1.4833E+06  5.1271E+06
0000088   6.1455E+06 -1.3199E+06  3.8594E+05
0000089   7.3253E+06  9.7365E+05  5.4696E+05
0000090   6.9357E+06  4.2760E+06 -6.9522E+05
0000091   6.1421E+06 -7.5714E+05  3.7788E+03
0000092   7.7666E+06  2.1228E+05  1.1981E+06
0000093   7.0766E+06  1.1186E+06 -4.1682E+06
0000094   9.8297E+06  2.1035E+06 -5.0356E+05
0000095   4.0448E+06  4.8255E+06  8.1632E+05
0000096   4.8965E+06  9.5282E+05  4.4262E+05
0000097   6.4737E+06 -1.7185E+06 -9.0984E+05
0000098   9.0387E+06 -2.1195E+06 -3.6597E+06
0000099   7.9013E+06  1.5519E+06  1.7742E+06
0000100   2.7479E+06 -7.1414E+05  3.2347E+06
0000101   1.8924E+06 -1.5895E+05 -2.6290E+04
0000102   7.3482E+06  5.1891E+05 -1.3495E+06
0000103   5.6027E+06  1.3904E+06  1.9904E+06
0000104   6.7087E+06  2.3188E+05 -2.5147E+06
0000105   5.9437E+06 -1.3537E+06 -5.1715E+06
0000106   7.4253E+06 -1.0331E+05 -4.0712E+05
