============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 2947052.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+02 A
  Layer # 1 - Density =0000.0018 g/cm3
  Layer # 1 -  100 % of Ar
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   8.4900E+06  2.2737E+06  4.1772E+06
0000002   9.2989E+06  4.1267E+05  3.9883E+06
0000003   5.3748E+06  5.3477E+05 -4.1654E+06
0000004   7.5212E+06  2.4771E+06  1.6125E+05
0000005   2.3522E+06  1.2508E+06  4.2904E+05
0000006   5.6650E+06 -1.8861E+05 -1.0922E+06
0000007   6.7232E+06  1.5071E+06 -2.4393E+06
0000008   6.1407E+06  9.6223E+04  2.6948E+06
0000009   3.4788E+06  3.8807E+05 -3.0057E+05
0000010   5.3623E+06  9.9163E+05 -2.0148E+05
0000011   3.9299E+06  7.4230E+05  4.1322E+05
0000012   4.1982E+06 -2.0348E+06 -4.3826E+05
0000013   7.3647E+06 -2.3647E+06 -4.9989E+05
0000014   7.7192E+06 -1.7316E+06  3.3304E+05
0000015   7.4914E+06 -2.4893E+05  1.2237E+06
0000016   7.7780E+06 -3.5028E+06 -4.1845E+05
0000017   1.1798E+06 -1.9471E+06  1.8821E+06
0000018   4.0235E+06 -2.4084E+06  2.0068E+06
0000019   7.9071E+06  2.6295E+06  7.5220E+05
0000020   8.1107E+06  2.1160E+06  8.2349E+05
0000021   8.5359E+06 -1.7394E+06  6.9221E+05
0000022   5.1812E+06  3.2220E+06  1.5394E+06
0000023   4.3609E+06  3.2484E+05 -9.4783E+05
0000024   2.2538E+06  3.7357E+05 -1.5533E+06
0000025   4.4546E+06 -1.6075E+06 -2.2347E+06
0000026   5.9684E+06  4.5995E+05  3.4768E+05
0000027   4.0389E+06  4.4981E+05 -1.3345E+06
0000028   5.2089E+06 -1.3248E+06 -2.4338E+06
0000029   9.4169E+06 -8.9035E+05 -6.8172E+05
0000030   7.4994E+06 -7.5672E+05 -1.1431E+06
0000031   4.3401E+06 -3.1140E+05 -1.7398E+06
0000032   9.1336E+06 -9.8152E+05 -8.1675E+05
0000034   4.9154E+06 -1.4091E+06  1.5484E+06
0000035   5.6963E+06 -1.6532E+06  4.3220E+05
0000036   4.2669E+06 -7.6644E+05  3.3048E+06
0000037   5.4905E+06  2.0165E+06  7.3102E+05
0000038   5.4780E+06  1.3926E+05 -1.6970E+06
0000039   8.5082E+06  1.2248E+06  2.8649E+06
0000040   6.3605E+06 -7.4558E+05  2.2582E+06
0000041   5.9427E+06  2.3456E+06 -3.9970E+06
0000042   7.7962E+06 -1.8991E+06 -2.9699E+06
0000043   5.9027E+06  2.5787E+06 -1.3741E+05
0000044   4.3940E+06  1.8835E+06 -3.9761E+05
0000045   9.4358E+06 -2.9056E+06 -2.6343E+06
0000046   5.8944E+06 -1.9787E+06 -1.1615E+06
0000047   3.5473E+06  1.7667E+06  3.2137E+06
0000048   5.9953E+06 -2.5110E+05 -4.1685E+06
0000049   3.7920E+06  2.8816E+06  8.3525E+03
0000050   6.2692E+06  3.8512E+05  9.1170E+05
0000051   9.2082E+06  1.4674E+06  1.2776E+06
0000052   6.1689E+06 -2.2679E+05 -1.3827E+06
0000053   5.7349E+06  1.4001E+06 -4.3194E+06
0000054   6.2343E+06 -1.0107E+06  7.1013E+05
0000055   2.0733E+06  3.3239E+06 -9.3650E+05
0000056   3.1514E+06  2.0015E+06 -5.2253E+04
0000057   7.1881E+06  3.3687E+06  3.0829E+06
0000058   8.0496E+06 -3.2805E+06  1.6366E+06
0000059   8.0790E+06  2.6708E+06 -3.2774E+05
0000060   7.0298E+06 -7.3058E+05 -1.2710E+06
0000061   1.4823E+06  2.6110E+05 -1.5296E+06
0000062   7.9120E+06  1.1116E+06  1.9962E+06
0000063   6.5006E+06  1.6681E+06  1.4181E+06
0000064   5.7373E+06 -3.9905E+05  2.9301E+06
0000065   2.1789E+06 -6.0077E+05  1.7284E+06
0000066   3.7127E+06  1.2651E+06 -2.2486E+06
0000067   5.0302E+06  6.2283E+05 -3.7227E+06
0000068   6.8800E+06  1.3339E+06  2.5978E+06
0000069   6.8039E+06 -1.6592E+06  1.0212E+06
0000070   5.1006E+06  1.6913E+06  2.2980E+06
0000071   6.8682E+06 -2.7791E+06  3.3383E+06
0000072   5.5789E+06  2.0201E+06 -2.4861E+06
0000073   8.4398E+05  1.2386E+06 -5.6886E+05
0000074   4.8707E+06 -5.6038E+06  1.1543E+06
0000075   3.5831E+06 -2.1667E+06 -7.9349E+05
0000076   6.3881E+06  6.3936E+05 -9.5661E+05
0000077   6.4877E+06  3.3229E+05 -4.9495E+05
0000078   5.5707E+06 -1.9910E+06  1.3293E+06
0000079   5.8412E+06  4.8380E+05 -4.2025E+05
0000080   7.2172E+06  1.7332E+06  1.4792E+06
0000081   7.0943E+06  1.1566E+06 -5.9188E+05
0000082   2.2119E+06  1.4855E+06  1.8974E+06
0000083   4.7374E+06 -3.3168E+06 -7.0677E+05
0000084   7.4621E+06  4.8420E+05 -7.9428E+05
0000085   3.4229E+06  2.0700E+06 -1.6239E+06
0000086   6.5170E+06  4.0981E+05  7.8554E+05
0000087   4.4917E+06 -4.1222E+06 -8.5146E+05
0000088   6.4436E+06 -1.7485E+06 -3.0508E+06
0000089   5.3271E+06  9.2584E+05 -2.6958E+06
0000090   5.6899E+06 -1.7703E+06 -1.2703E+06
0000091   5.6909E+06  2.6304E+06  2.1395E+05
0000092   4.0965E+06  3.0150E+05  6.7203E+05
0000093   9.1547E+06  1.4306E+06  2.5666E+06
0000094   6.4377E+06 -7.4363E+05  2.2864E+06
0000095   9.0858E+06  2.2989E+05 -8.7020E+05
0000096   4.6753E+06 -1.3527E+06 -4.8504E+05
0000097   7.6797E+06 -2.0454E+06 -1.2536E+06
0000098   7.4128E+06 -1.1007E+06  3.8134E+06
0000099   8.1222E+06  1.7487E+06 -2.1545E+06
0000100   8.1483E+06  4.4106E+05 -2.1844E+06
0000101   6.0995E+06  6.4793E+05  1.9283E+06
0000102   8.8755E+06 -1.7131E+06 -2.7991E+06
0000103   6.1793E+06 -4.7900E+05 -1.8394E+06
0000104   6.0147E+06  3.3352E+06  3.8170E+06
0000105   4.3848E+06  8.0832E+05 -2.3991E+06
0000106   6.1359E+06  3.3649E+04  2.7020E+06
0000107   5.1264E+06  9.3479E+03  1.8988E+06
