============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 1048113.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+02 A
  Layer # 1 - Density =0000.0018 g/cm3
  Layer # 1 -  100 % of Ar
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   2.8199E+06  1.0246E+06  4.4860E+05
0000002   1.9917E+06  8.3501E+05 -1.3523E+06
0000003   1.6198E+06  5.0118E+04 -1.0159E+06
0000004   1.5274E+06  1.0882E+05 -2.4872E+05
0000005   2.8742E+06  1.5198E+06  7.5325E+05
0000006   1.3585E+06  9.6611E+05  3.8627E+05
0000007   1.6696E+06 -1.8666E+05 -2.0415E+06
0000008   2.7184E+06 -6.0377E+05  2.1845E+05
0000009   1.4278E+06  6.3653E+05 -1.5959E+05
0000010   2.6328E+06  1.6863E+06 -5.8627E+05
0000011   2.1905E+06  8.6841E+04  7.6176E+05
0000012   1.6533E+06 -1.2151E+06 -6.6275E+05
0000013   1.4782E+06  9.8408E+05  8.8077E+03
0000014   2.8296E+06  1.3446E+06 -4.6821E+05
0000015   3.0653E+06  1.4980E+06  5.8730E+04
0000016   2.9439E+06  1.9930E+05 -1.6134E+05
0000017   1.9722E+06  4.3829E+05 -1.0531E+05
0000018   2.5008E+06 -1.6418E+06  1.3123E+06
0000019   1.9017E+06  1.2003E+06 -5.6178E+05
0000020   2.2505E+06 -3.6087E+05  6.6262E+05
0000021   2.5312E+06  8.0725E+05 -5.5220E+05
0000022   8.5612E+05 -1.4904E+06 -3.5252E+05
0000023   2.0904E+06 -1.4282E+06  5.4942E+05
0000024   2.2896E+06  1.5170E+06 -6.4233E+05
0000025   3.4053E+05 -2.4066E+05 -4.0703E+04
0000026   1.6587E+06 -7.7575E+05  1.5439E+05
0000027   4.1697E+06 -5.8765E+05  1.9676E+06
0000028   2.7952E+06  1.3484E+06 -1.7106E+05
0000029   2.5331E+06 -1.3190E+06 -2.1252E+05
0000030   2.1956E+06 -6.2853E+05  4.0328E+05
0000031   1.4221E+06  1.1658E+04 -6.5480E+05
0000032   3.1767E+06 -1.4995E+05 -4.5276E+05
0000033   1.6788E+06  1.0010E+06 -9.2744E+04
0000034   3.1758E+06  3.5313E+04 -1.2350E+06
0000035   1.9524E+06  5.7786E+05 -2.0813E+05
0000036   3.4758E+06  1.4571E+06 -1.3644E+05
0000037   4.1357E+05 -1.1812E+05 -2.4010E+05
0000038   1.5907E+06  7.6708E+05  8.3269E+05
0000039   1.9255E+06 -8.0769E+05 -2.5635E+05
0000040   1.8112E+06  1.6217E+06  1.6281E+06
0000041   1.5045E+06 -6.9719E+05  2.0294E+04
0000042   2.8956E+06  6.6713E+05  4.8247E+05
0000043   1.6915E+06 -4.7157E+05  1.2011E+06
0000044   2.9793E+06  1.9921E+06 -2.4055E+05
0000045   1.3700E+06  1.5100E+05 -4.9345E+05
0000046   1.8168E+06 -4.0111E+05  4.5552E+05
0000047   3.5083E+06  1.1135E+06 -1.6350E+05
0000048   1.9204E+06  5.0883E+05 -1.2648E+06
0000049   1.4552E+06  9.6186E+05  3.3425E+02
0000050   1.4419E+06  9.6149E+05 -8.9426E+05
0000051   5.3009E+05  6.1767E+05 -3.3392E+05
0000052   2.7135E+06  4.6861E+05 -8.6228E+05
0000053   2.6339E+06  8.4096E+05  1.1782E+06
0000054   1.7221E+06  5.9705E+04 -8.5276E+05
0000055   8.6175E+05 -3.2773E+05  7.6457E+05
0000056   1.7985E+06 -1.2529E+06 -6.8036E+05
0000057   2.5156E+06  1.2388E+05  2.8518E+05
0000058   1.1912E+06 -4.3018E+05  1.8041E+05
0000059   2.9030E+06  5.4279E+05 -6.6144E+05
0000060   1.2011E+06  5.4185E+05  8.3193E+05
0000061   1.8851E+06  5.5722E+05  1.0779E+06
0000062   3.2291E+06  9.3612E+05  7.5493E+05
0000063   2.0772E+06  4.8386E+05  5.6485E+05
0000064   1.2375E+06  4.2093E+05  7.6077E+04
0000065   1.7588E+06  1.1232E+05  6.5839E+05
0000066   1.4223E+05 -9.2900E+04  5.4922E+03
0000067   2.0363E+06 -1.3866E+06  1.1114E+05
0000068   1.9299E+06  8.4453E+05  5.5801E+04
0000069   1.8314E+06 -3.3437E+05  3.9672E+05
0000070   2.3750E+06  1.1746E+06  1.7029E+06
0000071   2.2421E+06 -1.8641E+06  1.7773E+06
0000072   3.9806E+06 -4.7035E+05 -1.6094E+05
0000073   2.3267E+06  3.0572E+05 -1.2787E+05
0000074   9.5492E+05 -5.0942E+05 -9.6624E+04
0000075   2.7180E+06 -1.3134E+05  4.6414E+05
0000076   1.8244E+06 -8.7794E+04 -7.7984E+04
0000077   7.9527E+05  4.3804E+05  1.0078E+06
0000078   2.5907E+06 -8.1276E+05 -1.2232E+06
0000079   2.1352E+06  3.7096E+05 -6.9947E+05
0000080   2.8039E+06 -1.0364E+05  9.0364E+05
0000081   3.0853E+06 -6.9932E+04 -2.7208E+05
0000082   2.1037E+06  5.5972E+05  7.2943E+05
0000083   2.2316E+06 -1.2170E+06  1.5924E+06
0000084   2.2875E+06 -6.4729E+05  5.0411E+05
0000085   1.8475E+06  1.9526E+04  9.1262E+05
0000086   1.3049E+06  1.4414E+06  1.0036E+06
0000087   1.0915E+06 -1.5733E+06  8.7607E+05
0000088   2.8036E+06 -4.2473E+04 -1.3245E+06
0000089   2.1538E+06  8.1447E+05 -2.4267E+05
0000090   1.9780E+06 -7.5440E+05 -6.4034E+05
0000091   1.6599E+06  3.1576E+05 -1.5236E+05
0000092   4.6537E+05  4.0147E+05  2.6740E+05
0000093   2.0817E+06 -4.0820E+05 -3.2667E+05
0000094   2.5289E+06  1.9421E+05  9.6264E+05
0000095   2.7347E+06 -4.9348E+05  6.7291E+05
0000096   1.8321E+06 -8.7816E+05 -1.0627E+06
0000097   2.9474E+05  9.7253E+03 -1.3907E+06
0000098   2.2833E+06  4.6161E+04  1.5257E+05
0000099   8.5934E+05 -1.1867E+05  6.8536E+05
0000100   1.7410E+06  1.4669E+05  2.8849E+05
0000101   1.3188E+06 -5.4354E+05  6.1885E+04
0000102   1.1351E+06 -1.1185E+05  2.4058E+06
0000103   2.2036E+06  5.4830E+05  8.0876E+05
0000104   1.0385E+06  7.3059E+05 -3.4501E+05
0000105   1.8661E+06  4.0350E+05 -6.7977E+05
0000106   1.0304E+06 -2.6709E+05 -1.1571E+05
0000107   1.6575E+06 -4.6006E+03  1.3340E+04
