============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 1264855.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=500000.E+02 A
  Layer # 1 - Density =0000.0071 g/cm3
  Layer # 1 -  100 % of Ar
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   7.9017E+05  3.0216E+05 -2.6895E+05
0000002   5.1366E+05  1.9965E+05  1.7760E+04
0000003   9.2322E+05 -3.1268E+05  5.0034E+04
0000004   1.3054E+06  4.6036E+05  3.2223E+05
0000005   5.5080E+05 -3.5357E+04 -3.6204E+05
0000006   8.4522E+05  1.6924E+05  3.2348E+05
0000007   1.6908E+05  1.3066E+05  1.3719E+05
0000008   4.0541E+05 -2.2195E+05 -4.0927E+04
0000009   5.7864E+05  2.9876E+05 -2.2539E+05
0000010   6.8308E+05  4.7458E+05 -8.9895E+04
0000011   1.0843E+06 -1.0269E+05 -3.5541E+03
0000012   6.8899E+05 -4.0500E+05  2.8019E+05
0000013   4.7600E+05 -2.3516E+04  4.5595E+04
0000014   5.9734E+05 -1.0222E+05  3.9800E+05
0000015   6.1461E+05 -1.5377E+05 -6.8200E+04
0000016   7.5924E+05  1.1488E+04  2.4824E+05
0000017   9.6064E+05  7.1125E+05 -1.1875E+05
0000018   4.6099E+05  3.4419E+04 -1.4066E+04
0000019   6.1550E+05  2.5543E+05  3.5837E+05
0000020   4.4346E+05  5.0880E+05  8.8246E+04
0000021   4.6704E+05 -5.2321E+04  1.5145E+05
0000022   7.7710E+05  3.7453E+05 -1.9545E+05
0000023   5.5723E+05 -1.2914E+05  1.5591E+05
0000024   1.0079E+06  1.9162E+05  4.9401E+05
0000025   5.9966E+05 -2.4403E+05  1.8027E+05
0000026   8.4365E+05 -1.1600E+04 -2.3858E+05
0000027   3.1826E+05  5.0831E+03  2.1802E+05
0000028   5.0741E+05 -2.2437E+05  3.9023E+04
0000029   9.0622E+05  2.5108E+05  8.3935E+04
0000030   8.9310E+05 -2.1691E+05 -7.1108E+04
0000031   5.2499E+05  4.0234E+04 -7.6323E+04
0000032   9.7859E+05  1.8914E+05 -1.5743E+05
0000033   6.7049E+04  2.3610E+05  1.8260E+05
0000034   5.7818E+05 -1.8565E+05  1.2135E+05
0000035   4.4374E+05 -1.0420E+05 -9.3562E+04
0000036   5.8924E+05  2.6555E+04  3.1482E+04
0000037   4.0976E+05 -3.8319E+04 -3.9515E+04
0000038   6.0918E+05 -1.5729E+05 -1.0195E+05
0000039   4.1882E+05 -5.8640E+04  1.2016E+04
0000040   7.1384E+05 -1.2684E+03  2.8544E+05
0000041   6.1311E+05  1.1575E+04 -1.3273E+05
0000042   3.4762E+05 -2.2969E+05 -7.2846E+04
0000043   5.1141E+05 -1.6519E+05  7.9380E+04
0000044   6.7729E+05 -3.6649E+05  9.2796E+04
0000045   7.6811E+05 -2.1508E+04  2.7167E+05
0000046   7.6949E+05  4.0045E+05 -1.5740E+05
0000047   1.4972E+05  4.8090E+04  2.6233E+05
0000048   4.5820E+05 -1.9732E+05 -6.6999E+04
0000049   1.3353E+06 -7.2142E+05  1.9116E+05
0000050   3.9243E+05 -1.6910E+04  4.0472E+05
0000051   4.4208E+05 -2.7582E+04  8.4711E+04
0000052   3.9068E+05  6.0015E+05 -1.4647E+04
0000053   7.1045E+05  7.5589E+04  8.7357E+04
0000054   1.3148E+06 -2.5055E+04  3.3734E+05
0000055   6.1303E+05  1.3324E+05  1.9013E+05
0000056   1.9549E+05  3.3917E+04 -1.1334E+05
0000057   5.5581E+05  1.1136E+04 -1.0508E+05
0000058   5.8612E+05 -2.0000E+05 -2.4192E+05
0000059   2.0097E+05  1.6999E+05 -2.6973E+04
0000060   5.2164E+05  1.9813E+05  2.2191E+04
0000061   5.6779E+05  2.1894E+05  1.9529E+05
0000062   6.9859E+05 -2.1357E+04 -4.3482E+04
0000063   5.4320E+05  1.3317E+05  9.3315E+04
0000064   7.4549E+05  1.4884E+05 -1.4212E+05
0000065   8.0729E+05 -6.4647E+05  1.0481E+05
0000066   7.8361E+05 -2.0869E+05 -2.1484E+05
0000067   8.5713E+05 -5.7123E+04  2.6542E+05
0000068   2.6602E+05  1.5977E+05 -3.4739E+05
0000069   4.3513E+05  1.0762E+05 -9.3301E+04
0000070   1.3598E+05 -1.3113E+05  1.0278E+05
0000071   6.6375E+05  1.0518E+05 -1.9160E+04
0000072   7.5504E+05  8.7395E+04 -6.1388E+04
0000073   4.0131E+05 -1.0857E+05  8.2258E+04
0000074   7.5961E+05 -1.5010E+05  1.9465E+05
0000075   6.4573E+05 -2.0472E+05  2.0778E+05
0000076   4.6982E+05  2.4412E+05 -1.3078E+05
0000077   7.0136E+05  1.7667E+05  5.1196E+05
0000078   5.1416E+05 -2.8608E+05 -1.2582E+05
0000079   7.2472E+05  3.4385E+05  8.1210E+04
0000080   5.5765E+05  4.2988E+05 -1.4276E+05
0000081   1.0205E+06  1.5683E+03 -1.3064E+05
0000082   7.0009E+05  9.0568E+04  4.0702E+05
0000083   5.8626E+05  2.9036E+05  1.9079E+05
0000084   3.4088E+05  7.4595E+04  8.4726E+04
0000085   8.5509E+05 -2.9954E+05 -1.4242E+05
0000086   5.6760E+05  1.1480E+04  1.5141E+05
0000087   6.3760E+05 -1.5343E+05 -4.2083E+04
0000088   5.9433E+05 -1.8822E+04  4.5407E+05
0000089   2.8900E+05  4.3616E+05 -1.5598E+04
0000090   9.0956E+05  3.3383E+05 -2.4463E+05
0000091   4.7069E+05 -9.0244E+04  1.3928E+04
0000092   8.8383E+05  1.6516E+05 -1.6041E+04
0000093   8.7490E+05 -4.7901E+05 -2.3472E+05
0000094   4.9940E+05 -5.4010E+04  1.9675E+05
0000095   4.8059E+05 -2.6939E+05 -1.3932E+05
0000096   7.9016E+05  1.0163E+05  6.7317E+04
0000097   7.1497E+05  4.9352E+03 -1.6111E+05
0000098   7.4105E+05  2.0461E+05 -5.4789E+04
0000099   8.9311E+05  2.5180E+05 -3.6415E+05
0000100   4.0577E+05 -7.1037E+04  4.9044E+05
0000101   1.0137E+06 -2.2414E+04  4.5758E+04
0000102   5.4818E+05  4.6190E+04  2.7616E+05
0000103   2.9606E+05  4.2247E+04  7.3649E+04
0000104   8.0457E+05 -4.3232E+04  3.2613E+05
0000105   6.0807E+05  9.6147E+04  8.4140E+04
0000106   6.0897E+05  2.1367E+05 -2.5946E+05
0000107   5.5730E+05 -1.6958E+05  1.0194E+05
