============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 7196857.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=500000.E+02 A
  Layer # 1 - Density =0000.0071 g/cm3
  Layer # 1 -  100 % of Ar
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   3.8517E+05 -1.7688E+05  3.2916E+04
0000002   4.4609E+05  5.2261E+04  6.7752E+04
0000003   3.6028E+05 -6.2015E+04  9.7810E+04
0000004   6.4136E+05 -6.6063E+04  1.9300E+05
0000005   5.0985E+05  2.2228E+04 -3.8500E+05
0000006   4.4309E+05  1.0712E+05  1.0218E+05
0000007   3.2932E+05 -1.8910E+04  2.0913E+05
0000008   3.9933E+05 -8.1364E+04  7.4791E+04
0000009   4.5709E+04 -1.0918E+05 -6.3032E+04
0000010   7.6697E+05  1.6791E+05 -1.2160E+05
0000011   4.4977E+05 -9.6158E+04  1.2744E+05
0000012   6.1271E+05 -8.5335E+04  1.2821E+04
0000013   3.0426E+05  1.2851E+05  1.1809E+05
0000014   1.0283E+05  6.7871E+04 -1.2432E+04
0000015   2.3395E+05  2.4154E+05 -7.4094E+04
0000016   3.9837E+05  3.6922E+05  2.7354E+05
0000017   4.2132E+05  1.8005E+05 -2.5143E+05
0000018   2.8973E+05  9.4774E+04  7.4456E+04
0000019   3.3276E+05 -2.5510E+04 -6.4982E+04
0000020   3.1262E+05 -5.0027E+04 -1.0505E+05
0000021   1.8593E+05  4.5765E+04 -8.4557E+04
0000022   3.3989E+05  1.7600E+05  9.2746E+03
0000023   8.7605E+04  2.6618E+04  1.5351E+04
0000024   3.7264E+05  1.1974E+05  1.1983E+05
0000025   3.3307E+05  5.4213E+04  3.1303E+05
0000026   2.3572E+05 -3.8339E+04 -5.2520E+03
0000027   7.8276E+05  1.7195E+05  4.0452E+04
0000028   5.0917E+05 -2.2270E+04  1.3863E+05
0000029   4.7976E+05 -4.6168E+04  4.9397E+04
0000030   9.3896E+04  1.9959E+05  3.6586E+03
0000031   1.8353E+05 -1.2705E+05 -1.9922E+05
0000032   5.6305E+05  1.5408E+04 -4.0028E+04
0000033   2.3719E+05  1.5276E+04 -1.1591E+05
0000034   7.1700E+05  2.3990E+05 -5.3091E+03
0000035   4.2118E+05  2.2782E+05 -1.4435E+05
0000036   2.3281E+05 -9.3537E+04  4.8392E+04
0000037   4.7186E+05 -1.7348E+05  1.1834E+05
0000038   3.6026E+05 -3.0249E+04 -2.0004E+04
0000039   3.8160E+05  1.3217E+05 -4.5941E+04
0000040   3.6122E+05  1.4314E+04  4.7608E+04
0000041   3.8859E+05 -9.1558E+04  1.6534E+05
0000042   4.6271E+05  5.7699E+04  4.7616E+04
0000043   6.4750E+05 -2.1760E+05  1.0323E+04
0000044   5.8287E+05 -1.0426E+05 -1.2897E+05
0000045   2.2386E+05  4.2381E+04  9.6931E+04
0000046   4.2105E+05 -6.6827E+04 -2.4318E+05
0000047   5.7009E+05  1.3991E+05  1.0789E+05
0000048   4.9996E+05  2.0853E+05 -5.7418E+04
0000049   3.8334E+05 -1.2596E+05 -7.4979E+04
0000050   4.4051E+05  2.3551E+05 -2.8253E+04
0000051   3.0022E+05 -7.2625E+04 -9.0929E+04
0000052   3.2102E+05  4.4343E+04 -6.2720E+04
0000053   3.0588E+05 -2.0297E+05 -2.7452E+04
0000054   1.7692E+05  2.2780E+05  2.4785E+04
0000055   3.5584E+05  2.7526E+05 -7.5031E+04
0000056   7.1409E+05 -2.5902E+04 -1.4316E+05
0000057   2.5520E+05  8.9289E+04  5.7088E+04
0000058   4.2895E+05 -1.5788E+05  1.1003E+05
0000059   6.0152E+05 -3.2991E+04  2.1546E+05
0000060   1.7525E+05 -1.4105E+05 -3.7194E+04
0000061   2.5845E+05  4.9310E+04  6.3374E+03
0000062   5.2723E+04  9.8920E+04 -6.7650E+04
0000063   2.4814E+05  8.3370E+02  5.3596E+04
0000064   3.7336E+05 -2.5099E+05  1.3372E+05
0000065   4.7993E+05 -5.6646E+04 -6.8823E+04
0000066   4.2684E+05  2.2800E+05 -2.8658E+04
0000067   3.5629E+05  2.3885E+05  1.9507E+04
0000068   5.0824E+05  3.7838E+04 -2.8712E+05
0000069   3.0799E+05  2.3482E+03  4.7206E+04
0000070   3.7428E+05  9.6560E+04  1.2949E+05
0000071   3.4703E+05 -1.7902E+05 -8.6821E+04
0000072   6.7757E+05 -2.3069E+05 -1.4458E+05
0000073   4.0235E+05 -2.7843E+04  3.6953E+04
0000074   2.4054E+05 -4.7459E+04 -9.6679E+04
0000075   4.1629E+05  1.5434E+05 -1.8429E+05
0000076   4.3794E+05  1.9421E+05 -1.6746E+04
0000077   1.2049E+05 -2.7446E+05  2.9122E+05
0000078   5.0294E+05  4.2451E+04  5.7831E+04
0000079   4.7994E+05  1.5976E+05  1.6629E+04
0000080   2.8697E+05 -6.0202E+04  6.2642E+04
0000081   4.6786E+05  1.3904E+05  1.7052E+05
0000082   1.9933E+05 -3.5080E+04  1.9301E+03
0000083   5.5979E+05 -1.3268E+05  8.1917E+04
0000084   3.9379E+05  1.6701E+05  9.9859E+04
0000085   2.6437E+05  1.1374E+04 -5.1064E+04
0000086   4.1929E+05 -4.1106E+05 -1.2669E+05
0000087   1.4814E+05 -1.2108E+05 -1.1072E+05
0000088   5.0576E+05 -1.1127E+04  1.2902E+05
0000089   2.7268E+05 -1.7747E+05 -1.9974E+05
0000090   3.4001E+05  2.4061E+04 -3.4639E+04
0000091   4.1397E+05  1.4831E+05  1.4905E+05
0000092   2.2471E+05 -2.8831E+04  2.0029E+05
0000093   1.6902E+05 -2.7636E+04 -2.3548E+05
0000094   2.3480E+05 -6.9364E+04  1.4943E+04
0000095   1.8313E+05 -3.9680E+04 -4.5213E+04
0000096   2.9266E+05  1.9061E+05 -5.6998E+04
0000097   4.9064E+05 -1.5742E+05  1.5412E+04
0000098   2.3780E+05  1.0496E+05  1.5198E+05
0000099   3.5463E+05 -1.1746E+05  6.3074E+04
0000100   4.0287E+05  7.2188E+04 -8.1137E+04
0000101   2.0105E+05 -1.1775E+05 -3.6291E+04
0000102   3.1490E+05  3.4747E+04  2.2072E+05
0000103   4.6908E+05  1.7419E+05 -5.5596E+04
0000105   5.3954E+05 -7.4922E+04  1.9042E+05
0000106   1.4857E+05 -1.8144E+05  8.0639E+04
0000107   4.7781E+05 -2.3731E+05 -1.0031E+05
