============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 1456348.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=500000.E+02 A
  Layer # 1 - Density =0000.0054 g/cm3
  Layer # 1 -  100 % of Ar
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   8.9149E+04 -1.2146E+05 -1.9763E+04
0000002   1.5685E+05  5.2647E+03 -4.9700E+04
0000003   1.6562E+05 -9.7128E+03 -8.2667E+04
0000004   1.0616E+05  1.9336E+04  2.2590E+04
0000005   1.0705E+05  1.1107E+05  6.3415E+04
0000006   6.7252E+04  9.1443E+03 -1.1831E+04
0000007   8.7159E+04 -4.2483E+04 -1.7080E+04
0000008   1.3584E+05 -2.3415E+04  2.4427E+03
0000009   1.3529E+05 -3.1605E+04  4.5445E+04
0000010   1.1488E+05  3.2029E+04 -6.2793E+03
0000011   1.7530E+05 -3.8643E+04 -1.9963E+03
0000012   1.7402E+05  8.7316E+04  8.0606E+04
0000013   1.5690E+05 -9.2307E+04 -2.8844E+04
0000014   2.0588E+05 -5.4930E+04  5.6352E+04
0000015   7.3968E+04  2.7186E+04 -1.2261E+04
0000016   6.5484E+04 -2.1492E+04  2.1650E+04
0000017   2.0963E+05  1.6974E+05  6.7811E+03
0000018   1.5896E+05  2.0430E+04  1.5307E+04
0000019   1.4345E+05  7.9743E+04  4.1404E+03
0000020   5.9286E+04 -3.0033E+04  5.2537E+03
0000021   1.6172E+05 -3.7034E+04  6.6120E+04
0000022   1.5295E+05 -1.9133E+04  7.4041E+04
0000023   1.0658E+05 -1.3947E+05  3.8965E+04
0000024   5.7416E+04 -1.9473E+04  1.4552E+04
0000025   5.7364E+04 -1.9316E+04  4.7952E+04
0000026   1.4008E+05  5.9095E+03  4.7352E+04
0000027   1.7190E+05 -1.3887E+04 -4.4263E+04
0000028   2.1665E+05  7.5193E+04  3.9469E+04
0000029   6.3827E+04 -5.9003E+04 -8.3610E+04
0000030   1.3648E+04 -2.3352E+04 -5.3211E+04
0000031   1.3711E+05  8.6019E+02 -4.0726E+04
0000032   1.8095E+05  3.2455E+04 -3.3346E+04
0000033   2.1602E+05 -3.9792E+04 -8.1925E+04
0000034   1.0069E+05  2.8247E+03  7.3054E+03
0000035   4.8493E+04  3.4461E+04 -7.3473E+03
0000036   2.7469E+04  4.1716E+04 -1.7332E+04
0000037   1.5474E+05  4.2812E+04  3.6617E+04
0000039   1.7812E+05  5.5855E+04 -6.1017E+04
0000040   1.5607E+05  1.5576E+04 -1.9191E+04
0000041   3.4823E+04  6.8670E+04 -2.5446E+04
0000042   4.0336E+04 -1.0152E+04  3.6615E+04
0000043   2.4701E+05 -1.5064E+04  4.0310E+04
0000044   1.1548E+05 -4.2674E+04  3.3864E+04
0000045   9.3570E+04 -1.2132E+03 -5.6604E+04
0000046   8.9718E+04  2.2463E+01  7.8052E+04
0000047   6.7424E+04 -3.5928E+04  1.4592E+04
0000048   1.3103E+05 -2.6862E+04 -1.5754E+04
0000049   5.8767E+04  5.0719E+04 -1.2783E+05
0000050   2.4304E+05  2.0557E+04 -3.3143E+03
0000051   5.8978E+04  5.1921E+03 -5.8830E+04
0000052   7.4273E+04 -1.3112E+04  4.5603E+03
0000053   9.7350E+04 -4.9670E+04 -4.8880E+04
0000054   2.3474E+05  4.0365E+04  1.0155E+05
0000055   1.5781E+05 -2.2788E+04 -3.5929E+04
0000056   9.3734E+04  8.9352E+02 -5.5972E+04
0000057   1.0566E+05  2.0988E+04  7.7611E+04
0000058   1.3067E+05  5.3827E+04  5.1064E+03
0000059   5.3765E+04 -1.1488E+04 -8.6862E+04
0000060   2.7397E+04  2.4393E+04 -2.5611E+04
0000061   9.4210E+04 -2.3891E+04 -2.5476E+04
0000062   1.5797E+05  3.0418E+03  8.4293E+03
0000063   1.5046E+04 -3.3798E+04  1.4424E+04
0000064   7.4857E+04 -2.0057E+04  5.9591E+04
0000065   1.2014E+05 -7.9326E+03 -6.1428E+04
0000066   2.0425E+05 -4.4324E+03 -3.5187E+04
0000067   1.4248E+05  6.4399E+04  5.4102E+04
0000068   7.1321E+04  1.9244E+04  2.7308E+04
0000069   1.2495E+05  5.6887E+04  2.4643E+04
0000070   9.4692E+04 -1.9541E+04  2.4011E+04
0000071   2.2632E+04 -3.0155E+04  9.8696E+03
0000072   9.9327E+04 -6.4786E+04  3.2616E+04
0000073   5.7312E+04 -4.9371E+02  4.3682E+03
0000074   1.7063E+05 -9.4305E+03 -2.8890E+04
0000075   1.0645E+05  6.3135E+04  1.6289E+03
0000076   2.0657E+05 -5.0181E+04  2.4002E+03
0000077   7.2757E+04 -1.0477E+05  2.1095E+04
0000079   7.0590E+04  1.5970E+04  9.1201E+04
0000080   2.5963E+04  4.2191E+04  4.2540E+04
0000081   1.4426E+05 -1.6418E+04 -1.8945E+03
0000082   1.0085E+05 -1.2026E+05 -5.1533E+04
0000083   1.0362E+05  5.8811E+04 -5.3656E+03
0000084   8.8636E+04 -1.9270E+03 -4.6802E+04
0000085   1.0794E+05 -2.8837E+04  1.3690E+04
0000086   1.0828E+05  8.5355E+04  1.8539E+04
0000087   1.1315E+05  4.2747E+04  2.4318E+04
0000088   7.3785E+04 -6.6222E+04 -1.4876E+04
0000089   1.0708E+05  5.8544E+04  4.1484E+04
0000090   3.4859E+04 -3.9838E+02 -1.4541E+04
0000091   1.7523E+05  4.5681E+04 -1.0915E+05
0000092   2.7597E+04  6.8078E+04  1.4361E+05
0000093   6.1661E+04  2.7069E+04 -3.8717E+04
0000094   1.6123E+05 -9.1597E+04  3.1918E+03
0000095   1.1745E+05  4.9357E+04  2.1856E+04
0000096   3.6993E+04 -5.6800E+04  4.5475E+04
0000097   1.6667E+05 -9.9921E+04 -8.8697E+04
0000098   1.8679E+05  6.6230E+04 -4.3915E+04
0000099   2.5513E+05  9.3891E+04  6.9219E+04
0000100   1.6901E+05 -6.2238E+04  1.1982E+04
0000101   4.6963E+04  1.0143E+05 -1.4054E+04
0000102   3.6168E+04  2.0184E+03 -6.5969E+04
0000103   1.2197E+05  5.7382E+04 -1.0439E+05
0000104   1.7295E+05 -1.8966E+04 -3.6193E+04
0000105   9.9221E+04  7.9481E+03 -4.6825E+04
0000106   2.0435E+05  4.2705E+03  6.2943E+04
0000107   1.4800E+05 -5.2066E+04 -1.6089E+04
0000108   2.1805E+05 -5.9674E+04 -7.4703E+04
