============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 4094915.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=500000.E+02 A
  Layer # 1 - Density =0000.0054 g/cm3
  Layer # 1 -  100 % of Ar
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   2.8146E+05  5.1630E+04  9.5207E+04
0000002   2.8080E+05 -1.4823E+05 -1.2096E+05
0000003   2.4617E+05 -1.9166E+05 -6.3558E+04
0000004   1.3274E+05 -8.2075E+03  5.6834E+04
0000005   2.4679E+05 -1.9462E+05  2.5118E+04
0000006   3.6823E+05 -6.4670E+04 -3.7284E+04
0000007   4.0057E+05  6.4739E+03 -4.8920E+04
0000008   3.0402E+05  1.3833E+04 -3.0914E+04
0000009   4.6366E+05  3.3279E+02 -1.0513E+05
0000010   3.4557E+05  2.5200E+04 -2.0505E+05
0000011   3.5714E+05 -3.7027E+04 -1.2754E+04
0000012   5.2622E+05 -1.5358E+05  8.3328E+04
0000013   2.6425E+05 -4.5214E+04  1.3650E+05
0000014   2.4663E+05  1.4640E+04  7.1313E+04
0000015   2.6158E+05  1.4159E+05  7.4024E+03
0000016   3.0686E+05  1.6971E+05 -5.1499E+04
0000017   1.5133E+05 -8.1052E+04  1.7512E+04
0000018   1.2723E+05  9.2130E+04 -6.2034E+04
0000019   1.6499E+05  7.0120E+04 -3.3134E+04
0000020   2.3215E+05 -1.1948E+05 -9.9377E+03
0000021   1.9454E+05 -9.2637E+04 -7.2363E+04
0000022   3.0463E+05  3.2422E+04  4.5119E+03
0000023   3.0712E+05 -5.3301E+04 -3.4647E+05
0000024   3.6010E+05 -1.6488E+05 -1.0538E+05
0000025   1.8251E+05 -6.4226E+04  4.1920E+04
0000026   3.8944E+05 -3.2980E+04  1.0322E+03
0000027   3.2698E+05 -3.0449E+04 -1.3534E+05
0000028   1.6842E+05  1.2720E+05  3.9900E+04
0000029   2.4604E+05  1.2210E+05  5.3421E+04
0000030   1.8486E+05  6.8046E+04 -6.8510E+04
0000031   3.0969E+05  1.2750E+05  3.3216E+05
0000032   1.2039E+05  4.1438E+04  2.1256E+04
0000033   2.2556E+05 -7.9282E+04  8.4843E+04
0000034   4.4471E+05 -1.3265E+05 -1.8352E+05
0000035   1.5695E+05 -1.9892E+05 -1.2472E+04
0000036   6.4510E+04  6.6247E+04 -1.2095E+05
0000037   4.0687E+05 -8.9300E+03  1.6165E+04
0000038   2.1772E+05  1.4079E+05 -1.0464E+05
0000039   3.7750E+05 -1.7759E+05 -2.7550E+04
0000040   2.0597E+05 -9.6486E+04 -6.4572E+04
0000041   1.1273E+05 -1.2789E+03 -1.5089E+05
0000042   2.1242E+05 -1.6267E+05  2.2763E+04
0000043   3.9981E+05  3.1303E+05 -1.0317E+05
0000044   4.6897E+05  4.9186E+04 -8.1827E+04
0000045   3.4583E+05 -2.1958E+05 -9.9747E+04
0000046   2.1654E+05 -3.3905E+05  9.1426E+04
0000047   5.4958E+05  2.4859E+05  1.2729E+05
0000048   3.5865E+05 -6.1698E+04 -9.7985E+04
0000049   2.8244E+05 -6.0575E+04  5.9186E+04
0000050   1.3881E+05 -7.3488E+04  5.3457E+04
0000051   5.2426E+04  1.5556E+05  2.5805E+03
0000052   7.0756E+04 -4.3848E+04 -5.0732E+04
0000053   4.5051E+05 -5.9601E+04 -2.3074E+04
0000054   2.4205E+05 -2.9121E+04 -3.5652E+04
0000055   5.1982E+05 -5.5384E+04  1.1967E+05
0000056   2.7960E+05  1.4448E+05  1.0713E+04
0000057   1.7112E+05  2.9896E+04  6.8361E+04
0000058   4.3954E+04 -4.0168E+03 -1.7550E+05
0000059   3.0964E+05 -4.0026E+03 -1.4291E+05
0000060   2.0410E+05  4.6305E+04  4.1681E+04
0000061   5.3508E+05 -1.8210E+05 -9.8610E+03
0000062   2.0655E+05 -1.8114E+05 -5.1841E+04
0000063   4.9403E+05  1.6098E+05 -6.2375E+03
0000064   9.5614E+04  1.1683E+05 -3.5622E+04
0000065   1.1112E+05  4.9202E+04  4.3047E+04
0000066   2.8033E+05 -5.7040E+04  8.7541E+04
0000067   2.3166E+05 -3.8105E+04 -3.1838E+04
0000068   5.7408E+05 -2.6531E+05 -2.9175E+05
0000069   1.3591E+05  2.4870E+05  5.6875E+04
0000070   2.9105E+05 -1.0691E+05 -5.4612E+04
0000071   6.8450E+04 -1.6833E+04 -2.9512E+04
0000072   1.9997E+05  2.2503E+04 -6.5686E+04
0000073   3.2749E+05 -4.8496E+02 -4.0904E+04
0000074   2.7289E+05 -9.4303E+04 -8.0879E+04
0000075   5.8251E+04 -2.6407E+04  6.0988E+04
0000076   4.8576E+05  4.8010E+04 -1.0780E+05
0000077   1.7127E+05  7.2606E+04  5.8443E+04
0000078   2.2100E+05  5.4467E+04 -1.5333E+05
0000079   4.0905E+05 -1.5123E+05 -1.0996E+05
0000080   2.3622E+05  6.2948E+04  1.3031E+05
0000081   2.7164E+05 -2.4498E+03  6.8531E+04
0000082   2.2438E+05  9.7893E+04 -1.4706E+05
0000083   9.7680E+04 -5.2403E+04 -1.6153E+04
0000084   2.4545E+05 -1.5793E+05  8.2914E+04
0000085   2.2906E+05  2.2390E+03 -3.2851E+04
0000086   2.4135E+05 -1.3211E+05 -1.4645E+05
0000087   2.4160E+05  7.9466E+04  6.5851E+04
0000088   2.5361E+05  8.7241E+04 -6.8992E+03
0000089   1.0283E+05 -1.3741E+04  1.3431E+05
0000090   2.0064E+05  2.1451E+05 -1.1132E+05
0000091   1.7702E+05  2.0308E+03  2.0511E+04
0000092   5.0414E+04 -3.8742E+04  1.7199E+04
0000093   3.5793E+05  4.7685E+04  1.2294E+05
0000094   2.9547E+05  7.9149E+04 -1.2459E+05
0000095   3.6714E+05  1.9621E+05 -2.6723E+04
0000096   2.3705E+05 -1.7074E+05 -1.8751E+05
0000097   4.5875E+05  2.8259E+04 -9.4851E+01
0000098   1.9820E+05  1.4781E+05 -2.6682E+04
0000099   8.9974E+04  1.7257E+04 -1.1292E+05
0000100   3.7018E+05  1.7058E+05 -8.7112E+04
0000101   3.8276E+05 -8.8880E+04 -1.3386E+05
0000102   5.6477E+05 -5.2079E+04  1.2805E+05
0000103   1.1616E+05  2.1428E+04 -8.2550E+02
0000104   1.1721E+05 -1.5288E+03  5.7351E+04
0000105   5.4272E+05 -1.3046E+05 -1.5039E+05
0000106   1.8107E+05 -3.3108E+04  1.5034E+05
