============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 6551286.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=500000.E+02 A
  Layer # 1 - Density =0000.0054 g/cm3
  Layer # 1 -  100 % of Ar
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   4.6840E+05 -2.3040E+05 -1.6524E+04
0000002   8.0412E+05 -9.9138E+04  1.8912E+05
0000003   2.6031E+05 -9.4749E+04  3.8762E+04
0000004   3.7551E+05  8.1691E+04 -3.7434E+05
0000005   3.1257E+05 -7.2698E+03 -2.3857E+03
0000006   6.3631E+05  1.5762E+05  3.8273E+05
0000007   6.0556E+05  6.3286E+04  3.5387E+04
0000008   1.7951E+05 -9.7591E+04  2.0884E+05
0000009   8.4429E+05 -1.0247E+05  1.4914E+05
0000010   4.9625E+05 -3.9611E+04  1.8297E+05
0000011   2.5733E+05 -3.7022E+05  2.1029E+05
0000012   8.7816E+05  1.0305E+05  2.4436E+04
0000013   4.2884E+05  4.1597E+04 -1.4185E+05
0000014   3.3719E+05 -1.6290E+05  3.1778E+04
0000015   1.9799E+05 -1.3589E+05 -5.0595E+04
0000016   6.5892E+05 -3.5916E+04 -5.5315E+04
0000017   6.6268E+05  1.1744E+05  2.0391E+05
0000018   5.3974E+05 -2.4927E+05  3.1920E+04
0000019   8.4806E+04 -7.8778E+04 -1.8351E+04
0000020   4.5990E+05 -7.3304E+04  1.1461E+05
0000021   4.4026E+05  3.5875E+04 -4.9057E+04
0000022   1.4659E+05  3.2421E+03  3.6010E+04
0000023   5.0133E+05  6.3140E+04 -2.0712E+05
0000024   3.3596E+05  4.8309E+03 -1.0607E+05
0000025   5.1934E+05 -2.0008E+05  1.1205E+05
0000026   2.3793E+05 -1.0561E+05 -4.0246E+04
0000027   5.4093E+05 -1.4478E+05  1.9572E+04
0000028   5.0098E+05 -1.3531E+05 -2.0345E+05
0000029   2.4420E+05  7.1015E+04 -9.9055E+03
0000030   9.1329E+05 -5.6801E+04  1.6322E+05
0000031   3.6914E+05  1.6179E+05 -3.8157E+05
0000032   6.1042E+05  1.5117E+05  1.6675E+05
0000033   1.3815E+04 -1.4881E+04  1.5440E+04
0000034   3.0918E+05 -2.7006E+04 -4.2598E+04
0000035   2.7962E+05  8.5367E+04 -2.2723E+05
0000036   7.4556E+04 -7.0977E+03 -1.3176E+04
0000037   4.0583E+05 -3.7114E+04 -1.4417E+05
0000038   8.0529E+05  1.3222E+05 -3.7358E+05
0000039   4.6158E+05  1.1443E+05 -2.8726E+04
0000040   8.9296E+04  1.0370E+05  7.4537E+04
0000041   2.8064E+05  9.5886E+04  5.0803E+04
0000042   5.1596E+05 -1.2680E+05  2.2602E+05
0000043   4.7139E+05 -1.5381E+05  1.7162E+05
0000044   3.1496E+05 -2.0944E+05  1.4817E+05
0000045   6.2358E+05  9.9884E+04 -3.3261E+05
0000046   6.6654E+05  3.3414E+04 -3.6381E+05
0000047   3.1828E+05 -2.4161E+04  2.2715E+05
0000048   4.7906E+05 -4.5122E+04  2.1947E+05
0000049   4.3789E+05 -1.3710E+05 -3.6380E+04
0000050   6.3391E+05 -1.3323E+05 -2.5756E+05
0000051   2.0528E+05  1.3576E+05  3.5031E+04
0000052   5.2619E+05 -1.8781E+05 -3.9895E+04
0000053   7.7117E+05  1.6107E+05 -2.9472E+05
0000054   6.6713E+05  5.6276E+04  7.8815E+04
0000055   4.8047E+05  2.0088E+05  6.0238E+04
0000056   4.2809E+05  2.7561E+05 -2.3412E+05
0000057   5.2881E+05  8.1855E+04 -2.8837E+05
0000058   3.3837E+05 -7.8066E+04  1.9004E+05
0000059   3.9712E+05  1.9030E+05  1.7391E+05
0000060   2.8071E+05 -1.4585E+05  6.2662E+04
0000061   5.0518E+05 -9.7572E+03 -2.3249E+05
0000062   4.5015E+05  6.1594E+04 -3.3526E+04
0000063   5.6091E+05  8.6793E+04 -2.3403E+05
0000064   1.1374E+05 -6.2530E+04  7.3986E+04
0000065   3.2968E+05 -3.7536E+04 -5.0582E+04
0000066   4.2366E+04  8.7736E+04  1.2432E+05
0000067   2.6960E+05  1.0228E+05 -1.4210E+05
0000068   4.2756E+05  2.3943E+05  2.7234E+05
0000069   1.3358E+05  1.1154E+05  1.3514E+05
0000070   4.0089E+05 -3.3385E+05  1.7634E+05
0000071   5.7269E+05 -2.3686E+05 -2.2283E+05
0000072   5.8100E+05  1.9467E+04  2.5093E+03
0000073   5.1554E+05 -1.5530E+05  1.2037E+05
0000074   1.9678E+05 -2.2408E+05 -7.7042E+04
0000075   5.7366E+05  1.8509E+05 -1.1728E+05
0000076   2.3254E+05  1.5354E+05 -2.1564E+05
0000077   5.9719E+05  1.6230E+04  1.4351E+05
0000078   2.6290E+05 -1.1280E+05  1.4576E+04
0000079   5.0707E+05  1.3079E+05 -1.3649E+05
0000080   1.9051E+05  2.9382E+05 -1.7152E+05
0000081   6.6056E+05 -1.4456E+05  2.3394E+05
0000082   6.0946E+05 -2.6401E+04  7.2911E+03
0000083   8.0292E+05  4.9338E+04 -2.1332E+05
0000084   6.8237E+05  3.7880E+05  2.1528E+05
0000085   4.2737E+05 -4.6926E+05 -4.7199E+05
0000086   4.1538E+05 -1.1607E+05 -5.9237E+04
0000087   5.9898E+05  1.5663E+05  2.4452E+05
0000088   4.4630E+05 -1.1928E+05 -1.0213E+05
0000089   9.7511E+04  2.1614E+05  2.4619E+05
0000090   1.5501E+05 -2.1901E+04 -5.8916E+04
0000091   5.2772E+05 -2.2663E+05 -2.9739E+05
0000092   6.3872E+05  1.1448E+05 -2.2425E+05
0000093   5.0308E+05  5.1527E+04 -1.5024E+05
0000094   1.3138E+05  9.2984E+04 -2.4071E+04
0000095   5.1258E+05 -8.7402E+04 -1.3606E+05
0000096   6.4615E+05 -3.5216E+05 -8.2711E+04
0000097   8.5247E+05 -3.1307E+04 -4.2312E+03
0000098   6.4675E+05  5.7097E+04 -1.4539E+05
0000099   4.6671E+05 -1.9699E+04 -3.7992E+05
0000100   5.2324E+05  2.3205E+05  1.5512E+05
0000101   3.6081E+05 -2.1858E+05 -3.2685E+05
0000102   7.1152E+05  4.0869E+04  6.3653E+03
0000103   4.3428E+05 -5.5104E+04 -4.4217E+04
0000104   7.3027E+05  4.2223E+05  2.7438E+05
0000105   6.9003E+05  1.4102E+05  3.0588E+05
0000106   4.3460E+05  1.9709E+05 -7.1641E+04
