============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 2023590.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=500000.E+02 A
  Layer # 1 - Density =0000.0054 g/cm3
  Layer # 1 -  100 % of Ar
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.8339E+06  8.4441E+05  9.3717E+05
0000002   1.4638E+06 -2.8509E+05 -3.6613E+05
0000003   2.4149E+06 -2.0025E+05  1.1052E+05
0000004   1.9168E+06 -6.4670E+05  7.1770E+04
0000005   8.7976E+05  1.4679E+05 -7.1962E+04
0000006   1.1938E+06  4.3296E+05  2.2408E+05
0000007   2.0549E+05  4.2603E+05 -7.3175E+05
0000008   1.0561E+06  1.4341E+05 -3.8473E+05
0000009   1.7544E+06 -1.4941E+04 -8.5787E+05
0000010   1.3961E+06  1.2851E+05  3.7609E+05
0000011   1.8803E+06  8.3338E+05 -3.0893E+05
0000012   1.5576E+06  3.4791E+04  6.5104E+05
0000013   1.3694E+06 -7.9224E+05  6.0677E+05
0000014   5.9167E+05 -6.0243E+04 -3.8164E+05
0000015   2.0183E+06 -2.0308E+05  6.6537E+05
0000016   1.8555E+06  6.7158E+04  9.3944E+05
0000017   1.7030E+06  6.5277E+05  6.0069E+05
0000018   2.2832E+06 -3.8743E+05  8.5323E+05
0000019   1.2814E+06 -7.4171E+04 -6.3199E+05
0000020   1.4121E+06  5.1869E+05  3.0527E+04
0000021   2.8831E+06  9.1489E+05 -2.8140E+05
0000022   2.0786E+06 -4.1725E+05  8.1092E+04
0000023   8.6141E+05 -1.0921E+06  6.1809E+05
0000024   1.5232E+06 -5.7379E+04  2.4981E+05
0000025   2.0929E+06  2.5956E+05  1.7050E+05
0000026   1.4483E+06 -4.4351E+05 -1.1029E+05
0000027   6.0327E+05  1.7127E+04 -4.2397E+05
0000028   1.7462E+06 -4.3588E+05 -5.7155E+05
0000029   1.6613E+06 -3.4998E+05 -1.2436E+05
0000030   9.3927E+05  1.3026E+05 -3.6218E+05
0000031   1.5978E+06  8.4656E+04 -6.1362E+05
0000032   1.4134E+06  3.5272E+05 -5.6115E+05
0000033   1.8770E+06 -3.5553E+05 -3.9311E+05
0000034   1.5297E+06 -5.9988E+05  5.3022E+05
0000035   1.6624E+06 -2.1401E+05  5.2689E+05
0000036   8.6241E+05  6.8318E+05 -6.1545E+05
0000037   9.7793E+05  2.9086E+05 -4.6864E+05
0000038   1.0820E+06 -1.9464E+05 -1.0552E+06
0000039   8.0222E+05  1.9709E+05 -4.9053E+05
0000040   1.6616E+06 -3.5054E+05  5.5497E+05
0000041   7.8515E+05  3.1844E+05  4.6329E+05
0000042   1.5095E+06 -3.7561E+05  5.1267E+05
0000043   1.3733E+06  7.0594E+04 -1.4873E+05
0000044   6.1166E+05  1.6678E+05 -2.7799E+05
0000045   1.8468E+06 -5.0068E+05  2.2855E+05
0000046   1.5469E+06  4.6857E+05  1.9473E+05
0000047   1.1477E+06  4.2652E+05 -1.4452E+04
0000048   1.5232E+06 -2.1937E+05  7.6341E+05
0000049   1.0430E+06 -1.5988E+05  2.3423E+05
0000050   1.5210E+06  6.5601E+05 -1.8446E+05
0000051   1.5379E+06  5.0417E+05 -2.7368E+05
0000052   1.6588E+06  2.4662E+05 -9.1262E+05
0000053   1.6178E+06  5.6894E+05  3.5519E+05
0000054   2.0316E+06 -9.0737E+03 -2.9133E+05
0000055   1.4748E+06  1.0283E+06 -4.1785E+05
0000056   1.0856E+06  4.0449E+04  1.5083E+04
0000057   1.6647E+06 -3.1384E+05  9.4941E+04
0000058   1.2550E+06  4.0029E+05 -6.0643E+05
0000059   1.8688E+06  1.1507E+05 -3.6609E+05
0000060   1.7427E+06 -1.1232E+06 -2.7415E+05
0000061   1.6036E+06  1.2227E+05 -1.3278E+05
0000062   1.4841E+06  3.8596E+05 -3.4573E+05
0000063   7.0532E+05 -2.1962E+05  6.7252E+04
0000064   1.7865E+06  4.2962E+04  1.2730E+06
0000065   6.1041E+05  2.9333E+05  4.3425E+04
0000066   3.3489E+05  4.1198E+04 -5.6951E+05
0000067   1.5207E+06  2.8464E+03  1.2987E+05
0000068   1.7619E+06  8.3323E+05  2.8895E+05
0000069   1.1571E+06 -4.3232E+05  4.6388E+04
0000070   2.3161E+06  3.9411E+05  1.8254E+05
0000071   7.6766E+05 -3.0433E+03  1.2914E+05
0000072   1.4873E+06 -3.0100E+04  8.8851E+05
0000073   7.7845E+05  3.8239E+05 -1.5676E+05
0000074   1.0802E+06 -3.9982E+05  6.8398E+05
0000075   1.3181E+06  1.6349E+05 -3.9258E+05
0000076   2.0053E+06 -4.1199E+05 -8.5032E+05
0000077   1.7526E+06 -4.4596E+05  6.1537E+05
0000078   1.8076E+06 -2.0111E+05 -2.9201E+05
0000079   8.8188E+05  2.2660E+04 -2.4842E+05
0000080   1.0333E+06 -1.5176E+05  2.9351E+05
0000081   9.3539E+05  4.5114E+04  4.1129E+05
0000082   1.5492E+06  5.3088E+05  2.5787E+05
0000083   2.0609E+06  3.6028E+05 -3.5929E+05
0000084   1.2295E+06  3.9214E+05 -4.5411E+05
0000085   1.7173E+06 -1.9226E+04 -1.4001E+05
0000086   1.8519E+06 -6.0761E+05  6.2169E+05
0000087   5.9235E+05  1.2886E+05 -8.8927E+04
0000088   1.1307E+06  1.3979E+05 -2.1476E+04
0000089   1.3505E+06 -2.7559E+05  3.1303E+05
0000090   1.5150E+05 -4.5554E+04  7.7496E+04
0000091   1.4637E+06  4.1575E+05  1.2244E+06
0000092   1.0578E+06  3.0675E+05  1.7802E+05
0000093   8.4155E+05  4.3721E+05  2.3449E+05
0000094   1.6665E+06  5.1056E+05 -5.5245E+04
0000095   1.4222E+06 -5.6471E+05  5.9182E+05
0000096   1.0618E+06 -6.0826E+04  2.6659E+05
0000097   1.6105E+06 -1.6437E+06 -5.2188E+05
0000098   1.7913E+06  2.9121E+05 -1.3101E+05
0000099   1.1004E+06  2.9862E+05  3.1038E+05
0000100   1.0022E+06 -1.6203E+05  7.3035E+05
0000101   1.1281E+06 -8.5686E+05 -5.0840E+05
0000102   1.3868E+06  4.5860E+05 -4.4649E+05
0000103   1.1589E+06  6.0868E+05  1.4930E+05
0000104   2.7148E+06 -2.8810E+05  8.8942E+04
0000105   1.6071E+06 -3.9958E+03 -1.6264E+05
0000106   1.5426E+06  2.6908E+05  1.1080E+05
0000107   1.5235E+06  6.2445E+04  2.7943E+05
