============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 1842070.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=500000.E+02 A
  Layer # 1 - Density =0000.0018 g/cm3
  Layer # 1 -  100 % of Ar
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   4.1425E+06  7.8179E+05  2.5867E+06
0000002   5.4576E+06  1.4764E+06 -7.3583E+05
0000003   4.4355E+06 -2.9695E+06 -1.5554E+06
0000004   5.9044E+06  3.3099E+05  8.9870E+05
0000005   2.6980E+06  8.0065E+05 -8.1799E+05
0000006   4.1386E+06  1.0023E+06  1.3852E+06
0000007   3.8722E+06 -8.0232E+05  2.5987E+05
0000008   4.0054E+06 -2.1021E+05 -1.7360E+06
0000009   4.5512E+06  1.1157E+06  6.0941E+05
0000010   4.1474E+06  4.5983E+05 -4.7671E+05
0000011   5.4444E+06 -7.1771E+05 -1.0201E+06
0000012   1.0319E+06  4.5209E+05 -1.7107E+06
0000013   1.8064E+06 -4.7292E+05 -1.5697E+06
0000014   6.4993E+06  3.8085E+06 -3.8781E+05
0000015   6.2862E+06 -1.7724E+06  8.3270E+05
0000016   3.4563E+06  1.7773E+06 -1.8116E+06
0000017   5.9740E+06  2.4455E+05 -2.9450E+05
0000018   5.3920E+06  1.9703E+05 -1.0748E+06
0000019   4.9558E+06 -1.8024E+06 -2.2202E+06
0000020   4.2022E+06  1.4616E+06  9.8367E+05
0000021   6.9020E+06 -2.0098E+06 -1.0877E+06
0000022   2.9123E+06 -1.0200E+06  7.0065E+05
0000023   5.1347E+06 -9.6320E+05  3.9430E+05
0000024   2.2860E+06 -2.9251E+06 -6.6560E+05
0000025   3.1194E+06  1.6045E+06  9.4827E+05
0000026   4.7991E+06 -2.2233E+06 -2.6837E+06
0000027   3.7680E+06  8.2502E+05 -2.0908E+06
0000028   3.5952E+04 -1.3681E+05  8.3446E+04
0000029   4.7460E+06  4.5942E+05  1.2339E+06
0000030   2.4849E+06  1.0393E+06  1.1541E+06
0000031   4.2995E+06 -1.4484E+06  4.5383E+05
0000032   5.4263E+06  1.3744E+06 -8.7927E+05
0000033   3.5066E+06 -1.1486E+06  1.3879E+06
0000034   4.1029E+06 -8.0296E+05  8.5931E+05
0000035   4.7601E+06 -8.0192E+04  1.0631E+06
0000036   4.5910E+06 -4.3352E+05 -1.6189E+06
0000037   2.4931E+06 -2.3554E+05  8.1575E+05
0000038   4.2021E+06  4.8983E+05  1.3967E+05
0000039   3.8160E+06  2.7527E+05  1.7039E+06
0000040   5.1593E+06 -4.1562E+05 -3.8304E+06
0000041   8.4566E+05  6.8065E+05  1.5085E+06
0000042   4.2118E+06 -5.7839E+05 -1.2822E+05
0000043   2.3416E+06  3.0153E+05  5.3578E+05
0000044   5.0425E+06 -2.3339E+06  5.6871E+05
0000045   3.8362E+06 -2.5727E+05 -1.3410E+06
0000046   2.2554E+06 -5.5961E+05  2.8399E+04
0000047   2.7955E+06  5.1973E+05 -1.1457E+06
0000048   2.9351E+06 -3.5360E+05 -2.1635E+06
0000049   4.0203E+06  1.6786E+05 -1.7202E+06
0000050   2.8630E+06 -1.2368E+06  6.2533E+04
0000051   5.4316E+06 -5.0793E+05 -9.1601E+05
0000052   2.8104E+06 -5.0543E+05  1.8422E+06
0000053   8.7679E+05  1.2576E+05 -4.9592E+05
0000054   3.6595E+06 -6.7144E+05  5.8161E+05
0000055   1.4915E+05 -7.7808E+05 -2.2454E+06
0000056   2.0374E+06  2.9772E+05 -2.8662E+06
0000057   5.4000E+06  9.7301E+05  1.0761E+06
0000058   4.4163E+06  2.4929E+06  1.9060E+06
0000059   2.4118E+06 -3.0867E+05 -2.7412E+06
0000060   5.0975E+06 -1.4805E+06 -6.8975E+05
0000061   3.0017E+06  4.1484E+05 -1.0838E+06
0000062   5.2200E+06  1.6455E+05  4.1352E+05
0000063   3.8468E+06  1.6797E+06 -2.8310E+05
0000064   5.5535E+06 -3.1718E+05  3.9142E+05
0000065   3.7665E+06 -1.8952E+06 -1.1216E+06
0000066   3.6640E+06  1.2726E+06 -7.3174E+05
0000067   3.1383E+06 -5.7492E+05 -1.0314E+06
0000068   2.0989E+06  4.8433E+04 -9.6004E+05
0000069   5.2372E+06  1.6456E+06 -5.5319E+04
0000070   3.2473E+06  2.2540E+06 -1.2960E+06
0000071   3.0940E+06  7.2808E+05 -6.6505E+05
0000072   1.3366E+06 -4.3555E+05 -2.8392E+05
0000073   3.9977E+06 -7.2994E+05 -1.9760E+05
0000074   3.9172E+06  1.4137E+06  1.5187E+06
0000075   2.6297E+06  1.0493E+06  1.6187E+05
0000076   4.9536E+06  4.9629E+05 -1.9465E+06
0000077   2.6153E+06  5.7542E+05  1.4016E+06
0000078   5.1011E+06  2.7653E+05 -1.6411E+06
0000079   1.9316E+06 -2.4677E+05 -1.9136E+06
0000080   4.5015E+06  5.7413E+05  9.9991E+05
0000081   4.4948E+06  6.0236E+05  1.6558E+06
0000082   9.2891E+05 -1.7186E+05  1.3632E+05
0000083   4.9152E+06 -1.1864E+06 -1.7621E+05
0000084   2.3666E+06  4.7426E+05  8.5882E+05
0000085   3.2494E+06  3.0485E+05  1.2665E+06
0000086   3.7696E+06  1.2163E+06 -2.9765E+06
0000087   3.5742E+06 -4.2364E+05  2.1438E+05
0000088   3.8225E+06  7.4823E+05 -1.8848E+06
0000089   3.0291E+06  1.0496E+06  2.0126E+06
0000090   2.1486E+06  2.6985E+06 -1.1920E+06
0000091   5.0517E+06  3.0350E+05  7.9784E+05
0000092   6.4032E+06  3.1171E+05 -1.1766E+06
0000093   1.5436E+06  9.7911E+05 -1.6493E+06
0000094   3.5710E+06 -9.9461E+04  1.6457E+06
0000095   5.3306E+06 -4.9251E+05 -1.8179E+05
0000096   2.3405E+06 -3.4306E+05  3.7752E+05
0000097   3.7977E+06  1.6288E+06 -3.9184E+05
0000098   6.3200E+06  7.1458E+04  5.0032E+05
0000099   5.0335E+06  2.4093E+05  5.6256E+05
0000100   3.2058E+06 -1.8685E+06 -3.9806E+05
0000101   1.6530E+06  1.4316E+05 -1.1205E+05
0000102   4.5421E+06 -2.1497E+06  1.1078E+06
0000103   3.3957E+06  5.3419E+05  7.1787E+05
0000104   3.4405E+06  1.4788E+06 -1.2746E+06
0000105   2.1272E+06  7.8098E+05 -1.5057E+06
0000106   3.2364E+06 -1.4616E+06 -2.9454E+05
