============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 1000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+02 A
  Layer # 1 - Density =0000.0036 g/cm3
  Layer # 1 -  100 % of Ar
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   6.8536E+04 -1.1329E+05 -3.9381E+04
0000002   1.1967E+05 -2.5133E+04  5.2693E+04
0000003   1.2991E+05 -2.3541E+03  3.5104E+03
0000004   1.4691E+05  1.7054E+04 -4.9223E+04
0000005   1.5749E+05  7.1470E+04 -6.7868E+04
0000006   9.1377E+04  3.0758E+04 -1.2058E+05
0000007   7.7945E+04  7.5610E+04 -6.9456E+03
0000008   9.2295E+04 -4.3045E+04  5.7265E+03
0000009   1.0938E+05  5.0647E+04  7.1534E+03
0000010   2.5520E+05  7.0257E+04 -1.4054E+05
0000011   1.2926E+05 -9.2279E+03  4.8692E+04
0000012   1.2720E+05 -4.5440E+04 -2.6566E+04
0000013   1.1915E+05  9.8494E+04  1.0187E+05
0000014   2.0364E+05  4.1750E+04 -5.4934E+04
0000015   2.0291E+05  1.4127E+04 -2.4319E+04
0000016   1.4270E+05 -9.1871E+04  8.1299E+04
0000017   2.2008E+05  4.7776E+04 -1.2796E+04
0000018   4.1442E+04 -1.5982E+04  7.2665E+04
0000019   2.0015E+05  2.5023E+04 -5.2299E+03
0000020   1.0666E+05  1.1194E+04  4.6678E+04
0000021   1.7014E+05  1.4320E+03 -2.5875E+04
0000022   7.2047E+04 -4.6597E+04 -5.4598E+02
0000023   1.5009E+05  1.6024E+04 -2.6225E+04
0000024   9.5303E+04  4.0695E+04  5.8105E+04
0000025   1.0940E+05 -1.5038E+04  3.5268E+04
0000026   1.6777E+05 -7.4049E+04 -3.3412E+04
0000027   1.1588E+05 -3.2587E+04 -8.4277E+04
0000028   1.1191E+05  5.6317E+04  5.6182E+04
0000029   1.0196E+05  4.6379E+04  1.6573E+04
0000030   5.4451E+04  2.8002E+04  4.9874E+04
0000031   2.5610E+05  5.8171E+04 -2.1903E+03
0000032   2.3647E+05  5.1484E+04 -2.3938E+04
0000033   3.6792E+04 -3.9530E+04  1.0253E+04
0000034   7.5473E+04 -2.8101E+04  2.8396E+04
0000035   3.7928E+04  2.5238E+04 -4.1339E+04
0000036   5.3245E+04 -2.5875E+04 -2.9723E+03
0000037   1.0551E+05  4.5409E+04  1.1371E+04
0000038   1.7920E+05 -2.3065E+04  8.5361E+04
0000039   1.4163E+05  2.3926E+04 -6.7876E+04
0000040   1.5336E+05 -1.3623E+04  7.2149E+04
0000041   1.9628E+05 -2.5629E+04  4.9900E+04
0000042   9.3399E+04  3.2171E+03 -6.3308E+04
0000044   2.0475E+04 -2.8822E+04  3.0704E+04
0000045   9.3676E+04 -3.2587E+04  6.3268E+04
0000046   7.7544E+04 -8.6752E+04  5.9287E+04
0000047   2.2155E+05  4.3455E+04  1.3224E+05
0000048   1.5606E+05 -5.2407E+04  3.1799E+04
0000049   1.0817E+05 -3.7304E+04  5.8349E+02
0000050   1.5952E+05 -5.1704E+04  2.4081E+03
0000051   2.0535E+05  1.2924E+05 -4.2941E+04
0000052   1.6856E+05 -2.2835E+03  1.6476E+04
0000053   1.4921E+05 -2.8584E+04  4.2345E+04
0000054   2.2986E+05 -1.8610E+04  7.5702E+04
0000055   6.8695E+04 -6.7198E+04 -1.4142E+03
0000056   1.4495E+05 -2.0808E+04 -1.0966E+04
0000057   1.2607E+05 -1.3936E+04  1.4078E+04
0000058   2.8096E+04 -1.5965E+03 -1.5272E+04
0000059   2.2148E+05  5.0803E+04 -1.9347E+04
0000060   1.1908E+05 -8.4614E+04  4.8112E+03
0000061   7.9215E+04 -8.1092E+04 -2.9244E+04
0000062   1.8153E+05 -3.8713E+04 -9.5193E+04
0000063   8.0583E+04 -4.5382E+04  2.0459E+04
0000064   1.3033E+05  5.9231E+04  4.0726E+04
0000065   2.4734E+05 -2.7046E+04  2.1855E+04
0000066   3.0367E+04  2.0691E+04  1.5895E+04
0000067   6.6432E+04 -3.9138E+04  1.3777E+04
0000068   5.7786E+04 -1.7858E+05  9.8787E+03
0000069   1.8952E+05  4.1967E+04 -8.3706E+04
0000070   1.2586E+05  9.0380E+04  5.3740E+04
0000071   2.4638E+05  7.5867E+04  7.5274E+04
0000072   2.1244E+05 -1.4631E+05  8.8865E+04
0000073   7.2381E+04 -6.0673E+04 -8.5757E+04
0000074   5.3840E+04  9.5071E+04  4.8275E+04
0000075   1.8891E+05 -1.4769E+04 -2.0635E+04
0000076   1.7526E+05  1.9654E+04  6.0203E+04
0000077   2.7753E+05 -9.4369E+04 -2.2306E+04
0000078   1.3658E+05 -5.8337E+04 -4.8196E+04
0000080   2.3507E+04  9.1034E+04 -3.1601E+04
0000081   3.0554E+04  8.4474E+03  2.5810E+04
0000082   8.7119E+04  4.5614E+04  5.3045E+04
0000083   1.5171E+05  3.7333E+04  6.7478E+04
0000084   7.9765E+04  8.4899E+03  2.4075E+03
0000085   1.7155E+05  4.9794E+04 -1.8753E+04
0000086   8.9688E+04 -1.1935E+04  2.8238E+04
0000087   1.1405E+05 -4.0804E+04  1.1244E+05
0000088   2.1161E+05  8.5438E+03  2.1696E+04
0000089   1.5469E+05 -5.7273E+03 -2.4126E+04
0000090   6.4529E+04 -4.8481E+04 -7.3784E+03
0000091   1.0831E+05  8.9663E+04  7.2241E+04
0000092   8.6573E+03  3.2448E+04  3.4487E+04
0000093   9.9411E+04  1.0486E+04 -9.2027E+04
0000094   1.3271E+05 -5.5118E+04 -1.2842E+04
0000095   7.3632E+04 -7.3870E+04  1.0198E+05
0000096   5.2064E+04 -2.8345E+04 -9.4168E+04
0000097   2.2323E+05  2.1043E+03 -8.0616E+04
0000098   1.3424E+05 -7.6395E+04  7.6650E+03
0000099   1.1512E+05  5.3941E+04  3.2711E+04
0000100   7.7728E+04  1.0991E+05  3.4588E+04
0000101   1.6015E+05  4.7185E+04  5.1768E+04
0000102   8.6397E+04 -5.1576E+04 -1.3746E+04
0000103   1.4098E+05 -3.2539E+03  4.6119E+04
0000104   6.9060E+04 -5.6997E+04  2.9644E+04
0000105   1.7099E+05  6.8798E+04 -9.9933E+04
0000106   6.6173E+04 -4.4840E+04 -3.0298E+04
0000107   4.1321E+04 -5.4527E+04 -3.1353E+03
0000108   6.3914E+04 -4.4451E+03 -2.8484E+04
