============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 6250550.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=500000.E+02 A
  Layer # 1 - Density =0000.0036 g/cm3
  Layer # 1 -  100 % of Ar
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   6.5901E+06 -4.0607E+06  1.4964E+06
0000002   5.3281E+06 -5.1842E+04 -1.2954E+06
0000003   5.6850E+06  2.1641E+06 -1.1009E+06
0000004   5.0762E+06  2.0232E+06 -1.4071E+06
0000005   3.2411E+06 -6.9160E+05  3.0224E+06
0000006   7.2183E+06 -2.0256E+06  7.3577E+04
0000007   4.2761E+06 -6.2893E+05 -2.2553E+06
0000008   1.3294E+06 -6.9457E+05  6.0850E+05
0000009   7.8297E+06  1.6544E+06 -1.4019E+06
0000010   8.7034E+06 -1.0278E+06 -3.1973E+06
0000011   2.6371E+06  3.3468E+05 -8.1379E+05
0000012   6.6615E+06 -3.3167E+05  7.0908E+05
0000013   7.3425E+06  6.1065E+05  3.5110E+05
0000014   6.7741E+06 -1.0211E+06  9.8666E+05
0000015   6.6325E+06 -2.4652E+06 -9.8525E+05
0000016   5.2697E+06 -2.1826E+06  1.6162E+05
0000017   5.0342E+06  6.0303E+05  1.1010E+06
0000018   6.5597E+06  7.6816E+05 -1.1564E+06
0000019   7.0949E+06 -9.0533E+05  2.7432E+05
0000020   8.1495E+06 -2.5629E+05 -2.3451E+06
0000021   5.2521E+06 -3.5178E+06  3.2074E+06
0000022   5.7395E+06  2.7902E+05 -3.2126E+06
0000023   5.5613E+06  5.0638E+05 -6.4560E+05
0000024   9.2854E+05 -1.3739E+06  2.0359E+06
0000025   6.7033E+06  5.2165E+05  1.2365E+06
0000026   8.1993E+06 -1.6750E+06  5.7368E+05
0000027   8.4609E+06 -1.7562E+06 -3.5399E+05
0000028   2.5800E+06 -1.5506E+06 -1.0247E+06
0000029   2.8174E+06 -1.6506E+06  3.7231E+05
0000030   9.5151E+06  7.3606E+05 -1.3660E+05
0000031   5.4836E+06  3.9129E+06  1.3936E+05
0000032   6.9534E+06  1.0721E+06  9.6922E+05
0000033   4.9311E+06 -3.4821E+06  3.2023E+06
0000034   6.0446E+06  2.0135E+04 -1.8124E+06
0000035   7.3993E+06  4.7260E+05  7.7273E+05
0000036   4.6848E+06  1.2632E+06  3.2083E+05
0000037   6.2571E+06 -6.0667E+05  2.7949E+05
0000038   2.3711E+06  2.9749E+05 -5.9139E+05
0000039   5.5351E+06  3.4327E+05  2.1025E+06
0000040   8.0683E+06  1.4649E+06 -8.2959E+05
0000041   6.8541E+06 -1.1058E+05 -1.6531E+05
0000042   6.6793E+06  3.4266E+06  2.6402E+05
0000043   5.9428E+06  1.8145E+05  6.9087E+05
0000044   4.8713E+06 -9.2322E+05 -2.9648E+06
0000045   4.1296E+06 -4.9223E+05  1.7055E+06
0000046   6.6955E+06  3.1991E+05 -2.4061E+06
0000047   7.0027E+06  1.2444E+06 -7.7840E+05
0000048   5.0948E+06 -8.3909E+05  2.6083E+06
0000049   5.9185E+06  1.7044E+05  9.4102E+05
0000050   4.9638E+06  1.5449E+06  4.1011E+05
0000051   7.7844E+06 -9.8279E+05 -7.3372E+05
0000052   4.9904E+06 -7.6021E+04 -3.0750E+06
0000053   6.6489E+06  1.5415E+06  1.6125E+06
0000054   6.2103E+06 -2.3810E+06  4.0321E+05
0000055   8.0597E+06 -1.6761E+06  1.0581E+06
0000056   5.3246E+06  2.0683E+06  3.5566E+05
0000057   3.8983E+06 -1.2819E+06 -3.0411E+06
0000058   7.5865E+06 -3.8637E+05 -1.5384E+06
0000059   5.8481E+06  1.9711E+06  2.2797E+06
0000060   5.4893E+06 -2.8057E+06  1.6834E+06
0000061   4.3492E+06  2.1030E+06 -3.7098E+06
0000062   6.6314E+06  3.2882E+06 -1.2821E+06
0000063   6.6323E+06 -1.5202E+06 -1.0743E+06
0000064   4.2467E+06  2.5124E+06 -1.2617E+06
0000065   6.2659E+06 -2.4755E+06 -2.3992E+02
0000066   5.7622E+06  2.5266E+06 -2.4423E+06
0000067   6.6265E+06 -1.1204E+06 -2.0243E+06
0000068   6.1198E+06 -1.5364E+06  3.3051E+05
0000069   6.1390E+06  2.6993E+05  3.3160E+06
0000070   5.3807E+06 -1.1337E+06 -7.7955E+05
0000071   8.0379E+06 -1.1535E+06 -1.2257E+06
0000072   8.1464E+06 -9.8205E+05  8.1362E+04
0000073   8.1973E+06 -8.8557E+04 -1.1309E+06
0000074   5.8844E+06  1.5129E+05 -3.0925E+06
0000075   5.1840E+06 -8.2798E+05 -1.9597E+06
0000076   6.2863E+06  2.7267E+05 -3.7908E+05
0000077   4.5430E+06 -3.4973E+06  1.2383E+06
0000078   4.5489E+06 -5.4076E+05  2.0502E+06
0000079   6.3227E+06 -1.7940E+06 -1.0808E+06
0000080   5.0719E+06  5.9822E+05  3.3158E+06
0000081   5.3826E+06 -6.1361E+05  2.0919E+06
0000082   7.7734E+06 -3.2021E+05  4.9554E+05
0000083   7.7867E+06  1.9672E+06  1.9932E+06
0000084   7.0611E+06 -6.6865E+05 -2.0153E+06
0000085   6.3769E+06 -1.4742E+06  6.2403E+05
0000086   5.5655E+06  3.0350E+06  2.8774E+05
0000087   8.1648E+06 -2.5168E+06 -1.5731E+06
0000088   7.7856E+06 -6.6909E+05  1.3659E+06
0000089   5.7529E+06  1.4961E+06  1.7088E+06
0000090   8.2576E+06  3.1763E+05  1.3417E+06
0000091   6.9903E+06 -1.2878E+06  2.2237E+06
0000092   6.9177E+06 -8.1748E+05  1.7289E+06
0000093   3.9208E+06  1.1672E+06  6.6350E+05
0000094   3.4106E+06  2.8403E+05 -3.2813E+06
0000095   5.6233E+06  8.3481E+05 -1.5973E+06
0000096   6.8130E+06  1.1305E+06  1.2376E+06
0000097   6.2731E+06  1.0584E+04 -2.5935E+06
0000098   6.8471E+06 -1.6257E+06 -7.3091E+05
0000099   8.4349E+06 -7.4849E+05  5.5414E+05
0000100   5.8531E+06  1.9132E+06 -1.7653E+06
0000101   7.1431E+06  2.9854E+06  6.5745E+05
0000102   4.9881E+06  3.6264E+06 -1.0593E+06
0000103   5.5553E+06 -2.4955E+06 -4.7475E+05
0000104   7.0592E+06 -7.9727E+05 -2.2948E+06
0000105   6.4331E+06 -1.9188E+06 -2.5014E+06
0000106   6.6190E+06  3.6497E+05 -1.6053E+06
