============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 4714800.E-04 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=500000.E+02 A
  Layer # 1 - Density =0000.0036 g/cm3
  Layer # 1 -  100 % of Ar
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   4.2454E+06 -3.5442E+06 -8.1457E+05
0000002   6.4800E+06  2.1003E+06  1.9778E+06
0000003   3.0815E+06 -8.0191E+05  2.0415E+06
0000004   3.4581E+06 -1.5420E+06 -1.0751E+06
0000005   3.5830E+06 -4.0101E+05  1.1197E+06
0000006   5.2305E+06  2.0968E+05  1.6330E+06
0000007   3.5186E+06 -1.4283E+06 -4.4290E+05
0000008   4.0994E+06  9.7661E+05  8.5963E+05
0000009   2.1228E+06 -2.1348E+05  7.7480E+05
0000010   7.9727E+06  8.6936E+05  1.8559E+05
0000011   6.3370E+06  2.3183E+06  1.2720E+05
0000012   5.3191E+06  8.8627E+05 -2.3115E+05
0000013   4.0128E+06 -1.3637E+06  9.5465E+05
0000014   5.5116E+06  3.9961E+04 -1.2453E+06
0000015   4.8251E+06  1.9702E+05 -1.2751E+05
0000016   4.4391E+06  1.0745E+06  5.8001E+05
0000017   3.9783E+06 -1.1316E+06  8.7757E+05
0000018   3.7065E+06  1.0618E+06  3.7031E+05
0000019   4.8397E+06 -6.7023E+05  1.1881E+06
0000020   4.3640E+06  2.0749E+06 -4.5912E+05
0000021   3.9192E+06 -1.1518E+06  2.6235E+06
0000022   2.5412E+06  1.1976E+06  1.5095E+06
0000023   6.5132E+06  2.0629E+06 -3.2342E+05
0000024   6.6544E+06  1.4198E+06  3.2424E+06
0000025   3.7203E+06 -1.9818E+06 -2.8130E+06
0000026   3.9517E+06  8.9171E+05 -1.7328E+05
0000027   2.1486E+06  3.9231E+05  4.8100E+05
0000028   5.5184E+06 -2.0069E+06 -8.9567E+05
0000029   5.1651E+06  9.2198E+05 -4.1402E+05
0000030   5.7092E+06 -1.6748E+06 -5.1268E+05
0000031   6.5802E+06 -5.4471E+04  4.8722E+05
0000032   3.3923E+06  1.8592E+06 -2.5930E+05
0000033   5.8377E+06 -1.4224E+06  1.0546E+06
0000034   5.7412E+06 -1.9612E+06 -3.1171E+05
0000035   7.0202E+06  1.6930E+06 -1.0126E+06
0000036   5.6130E+06  3.6829E+05  3.7264E+05
0000037   7.1406E+06 -1.3619E+04  1.7515E+06
0000038   6.8168E+06  7.0546E+05 -8.0487E+05
0000039   5.4684E+06  8.1968E+05  1.6424E+05
0000040   2.3085E+06 -6.4492E+05  1.5752E+06
0000041   5.3578E+06  1.6208E+06 -7.2441E+05
0000042   2.8681E+06  4.5387E+05  5.4064E+05
0000043   4.2720E+06  7.9481E+05 -1.8228E+06
0000044   6.6619E+06 -1.3216E+06 -1.0633E+06
0000045   5.2023E+06 -7.9329E+05 -1.2499E+06
0000046   4.7224E+06  1.9809E+06  1.9192E+06
0000047   5.7384E+06 -7.6927E+05  1.6772E+06
0000048   6.0693E+06 -8.2213E+05 -5.9059E+05
0000049   2.7877E+06 -2.2134E+06 -9.4903E+05
0000050   5.1230E+06  9.5596E+04 -1.2116E+06
0000051   4.4686E+06 -5.7957E+05  2.2865E+05
0000052   5.1185E+06 -2.8451E+06 -1.2948E+06
0000053   2.1871E+06 -9.8971E+05  4.8481E+05
0000054   4.0783E+06 -1.5081E+06 -1.0196E+06
0000055   3.7435E+06 -1.8555E+06 -2.6017E+06
0000056   6.7263E+06 -3.7662E+05 -1.0566E+05
0000057   4.2996E+06  1.3989E+05 -1.3864E+05
0000058   2.1023E+06  4.7030E+05 -8.5147E+05
0000059   6.7421E+06  6.3933E+05 -2.5573E+06
0000060   5.2462E+06  2.1550E+06 -1.2179E+06
0000061   5.8923E+06 -3.6724E+05  9.1587E+05
0000062   2.2079E+06 -9.6369E+05 -5.2496E+05
0000063   4.2847E+06  3.8846E+05  9.8891E+05
0000064   5.1794E+06 -4.0158E+05  6.1868E+05
0000065   4.7699E+06  1.7861E+06  7.6461E+05
0000066   5.9365E+06 -9.3985E+05 -1.1350E+06
0000067   7.0074E+06  4.7429E+05  7.5243E+04
0000068   4.6293E+06 -1.1157E+05  1.5570E+05
0000069   3.2408E+06  9.7273E+05 -2.4027E+06
0000070   3.1367E+06  4.8012E+05 -2.5256E+06
0000071   3.8344E+06  2.3258E+06 -6.0010E+04
0000072   2.7597E+06 -3.5316E+05  1.3924E+06
0000073   2.4183E+06  1.6048E+06 -1.9689E+06
0000074   5.4326E+06 -2.2021E+06  8.5182E+05
0000075   3.2266E+06  2.5026E+06 -2.1331E+05
0000076   5.3941E+06 -6.0000E+05 -9.2439E+05
0000077   4.9676E+06  1.6428E+06 -3.8259E+04
0000078   5.3839E+06  2.2183E+05  1.2989E+06
0000079   4.9302E+06 -3.5931E+05  6.2532E+05
0000080   4.7815E+06 -6.7602E+05  1.0686E+06
0000081   6.3686E+06 -1.2726E+06 -2.4142E+05
0000082   5.5009E+06  6.4256E+05 -1.2091E+05
0000083   6.9449E+06  1.5267E+06 -2.8123E+06
0000084   6.0893E+06 -7.3095E+05  1.1282E+06
0000085   6.1350E+06  9.7966E+04  2.4821E+06
0000086   5.6259E+06 -1.9778E+05  7.3748E+05
0000087   3.2290E+06  2.2097E+06 -3.2468E+06
0000088   4.8918E+06 -1.1116E+06  4.8852E+05
0000089   6.1315E+06 -2.3441E+06 -1.4513E+06
0000090   4.9371E+06 -2.1056E+06 -6.1523E+05
0000091   5.3851E+06 -8.1326E+05  1.6333E+06
0000092   5.2493E+06 -4.6977E+05 -9.6030E+05
0000093   5.2549E+06 -2.6460E+06  1.1497E+06
0000094   4.9295E+06  6.5053E+05 -2.3621E+06
0000095   6.5133E+06  8.2945E+05 -9.0216E+05
0000096   5.9068E+06  6.5633E+05  6.6094E+05
0000097   5.4468E+06 -1.3570E+06 -8.6466E+05
0000098   3.7137E+06 -2.0036E+06 -8.1243E+05
0000099   4.3666E+06  1.7768E+05 -1.8410E+06
0000100   5.6000E+06  4.0294E+04  2.7917E+05
0000101   5.5848E+06 -5.3786E+05  1.8992E+05
0000102   5.4075E+06 -7.3746E+05 -1.8713E+06
0000103   7.2203E+06 -6.7700E+05 -1.4648E+06
0000104   3.6953E+06 -3.9858E+05  1.3154E+06
0000105   2.9711E+06 -1.9418E+06 -2.0827E+06
0000106   1.8504E+06 -9.0026E+05  1.2499E+06
