============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 5428675.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=500000.E+02 A
  Layer # 1 - Density =0000.0089 g/cm3
  Layer # 1 -  100 % of Ar
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   2.2624E+05 -2.1173E+05 -6.1506E+04
0000002   1.6556E+05 -4.2770E+04 -5.7475E+04
0000003   1.9576E+05  1.7153E+05 -4.7519E+03
0000004   1.2373E+05 -4.7477E+04 -6.9912E+04
0000005   3.1461E+05 -4.0819E+04 -3.9461E+04
0000006   3.6706E+05 -9.7202E+04 -7.4831E+04
0000007   3.4784E+05 -1.0784E+05 -3.5279E+04
0000008   1.6617E+04 -7.9712E+04  7.8973E+04
0000009   2.7380E+05 -2.4059E+04  9.7566E+04
0000010   2.5809E+05 -8.9597E+03  3.8345E+04
0000011   3.4569E+05 -5.4547E+04 -5.1763E+04
0000012   1.8678E+05 -1.2992E+05 -7.7227E+04
0000013   2.0054E+05 -6.7979E+02  9.5837E+02
0000014   1.6987E+05  3.2965E+04 -6.5959E+04
0000015   2.4437E+05 -4.6547E+04 -9.5004E+03
0000016   1.1133E+05 -5.2376E+04 -1.9575E+02
0000017   1.1437E+05  3.9467E+04 -4.6272E+04
0000018   1.1385E+05  3.4556E+04  6.4130E+04
0000019   2.1018E+05 -1.0113E+05  1.0299E+05
0000020   6.2145E+04 -4.9173E+04 -5.0644E+04
0000021   2.2525E+05 -4.1749E+04 -1.2410E+05
0000022   2.1919E+05  5.2823E+04 -1.9974E+04
0000023   7.3658E+04  1.0784E+05 -7.1638E+04
0000024   2.3108E+05 -1.2290E+05  6.6878E+04
0000025   1.1632E+05 -8.5421E+04 -7.4405E+04
0000026   2.0492E+05  3.1079E+04  5.6549E+04
0000027   1.9233E+05  1.8456E+04  4.0331E+04
0000028   2.1487E+05  1.3549E+05 -4.0418E+04
0000029   2.2619E+05  7.4863E+04  2.2057E+04
0000030   8.8287E+04 -3.3451E+02  7.3827E+03
0000031   3.9766E+05 -4.0087E+04 -2.4428E+05
0000032   2.6462E+05 -6.5906E+04 -5.4025E+04
0000033   3.6053E+05 -1.4684E+04 -1.9400E+05
0000034   1.9568E+05  1.8666E+04  4.2784E+04
0000035   2.9399E+05 -1.1396E+04  2.9101E+05
0000036   2.1212E+05 -9.3504E+04 -1.4003E+04
0000037   1.0621E+05  9.5198E+04  1.0453E+04
0000038   2.0976E+05 -7.6520E+04 -2.0941E+04
0000039   1.6031E+05 -1.5000E+04 -6.1928E+04
0000040   2.7263E+05 -1.8598E+04 -1.0722E+05
0000041   3.0603E+05 -2.1334E+05 -2.3151E+05
0000042   3.0671E+05 -2.8757E+05 -5.5840E+04
0000043   1.4760E+05 -8.3899E+04 -1.4926E+05
0000044   8.2800E+04 -1.0427E+04 -4.4937E+04
0000045   3.1425E+04 -6.9652E+04 -2.3116E+04
0000046   2.5200E+05  8.4105E+04  1.9794E+05
0000047   1.3301E+05  1.2298E+05 -6.4816E+04
0000048   2.5794E+05  4.4730E+04  1.7719E+05
0000049   1.0062E+05 -7.7767E+03  2.5302E+04
0000050   1.7667E+05 -1.5516E+05 -3.8786E+04
0000051   1.8426E+05  1.4195E+04  7.3996E+04
0000052   3.1255E+05  7.0267E+02 -7.8111E+04
0000053   1.6509E+05 -6.6248E+04  1.0712E+05
0000054   1.3608E+05  1.3566E+05  1.2400E+05
0000055   2.5578E+05 -4.3688E+04  1.0978E+03
0000056   2.5526E+05 -5.1279E+03  9.2093E+04
0000057   2.3363E+05  3.5973E+04  1.0973E+05
0000058   2.4024E+05  4.5204E+04 -1.2363E+04
0000059   1.4551E+05 -1.0010E+05  1.0023E+04
0000060   2.1168E+05 -3.2490E+04 -9.8999E+04
0000061   2.8373E+05 -1.0306E+04 -8.4284E+04
0000062   1.9878E+05 -3.6083E+05  2.0649E+04
0000063   3.3323E+05  5.4533E+04  1.3729E+04
0000064   2.7479E+05  7.0989E+04  3.2297E+04
0000067   1.2925E+05 -6.6498E+04  2.7359E+04
0000068   2.0454E+05  6.0108E+04 -5.8249E+04
0000069   1.7709E+05 -5.2404E+04  3.6514E+04
0000070   2.7747E+05  7.8570E+04 -2.3570E+04
0000071   1.2706E+05 -2.4150E+04  3.5717E+04
0000072   1.7240E+05  5.9570E+03  4.3009E+04
0000073   2.2648E+05 -8.7236E+04 -2.7615E+04
0000074   3.6235E+05  5.1453E+04 -3.0755E+04
0000075   1.8169E+05 -1.4852E+04  4.0152E+04
0000076   2.4024E+05 -1.1008E+05  2.2929E+04
0000077   1.9409E+05  4.8006E+04 -3.1901E+04
0000078   2.0878E+05 -1.3182E+05 -1.3698E+05
0000079   3.2525E+05 -5.9473E+04  7.4082E+04
0000080   1.2086E+05 -3.6929E+02  7.2842E+04
0000081   1.0261E+05  1.2927E+05  3.9319E+04
0000082   3.0333E+05  8.8017E+04 -1.7425E+05
0000083   3.6515E+05 -7.1046E+04 -4.4972E+03
0000084   2.1042E+05 -1.1867E+05 -1.1094E+05
0000085   2.5836E+05  8.3890E+04 -5.7047E+04
0000086   2.0429E+05  7.0688E+04  9.7479E+03
0000087   1.4771E+05  1.6710E+05  6.1017E+04
0000088   2.7963E+05 -2.9860E+04  1.3284E+04
0000089   9.1217E+04 -8.7146E+03  2.6449E+04
0000090   2.3810E+05  6.4377E+04  1.0115E+04
0000091   8.4404E+04 -1.0219E+05 -1.3050E+05
0000092   3.0864E+05 -1.3553E+05 -4.3923E+04
0000093   3.1624E+05 -3.5254E+04  7.4333E+04
0000094   6.8835E+04  2.0817E+03 -4.9995E+04
0000095   3.1707E+05  5.3965E+04 -1.3354E+05
0000096   1.6509E+05  6.1224E+03  6.2666E+04
0000097   3.2658E+05  1.2357E+05  8.1928E+04
0000098   1.6886E+05 -2.6540E+04 -6.9699E+04
0000099   1.2512E+05  5.4805E+04  9.9153E+04
0000100   1.2088E+05 -5.0919E+03 -1.9676E+04
0000101   1.8978E+04  7.8385E+03  1.6306E+03
0000102   1.6727E+05 -1.4257E+05 -1.6257E+05
0000103   1.9523E+05 -8.5466E+04 -1.3899E+05
0000104   1.1108E+05 -8.7954E+04  2.6538E+04
0000105   2.3541E+05 -2.2098E+04 -1.8165E+04
0000106   1.5896E+05 -7.3579E+04 -5.6679E+04
0000107   2.2200E+05 -5.0911E+04 -4.8475E+04
0000108   2.7811E+05 -4.8702E+04  5.5406E+04
