============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 1098541.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=500000.E+02 A
  Layer # 1 - Density =0000.0089 g/cm3
  Layer # 1 -  100 % of Ar
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   3.9915E+04 -4.7701E+04 -1.1563E+04
0000002   2.6610E+04 -1.9867E+04 -2.1730E+04
0000003   1.1221E+05 -6.5848E+03 -7.1345E+03
0000004   6.0518E+04  1.4308E+04 -5.0086E+04
0000005   4.5706E+04 -1.6672E+04  1.9731E+04
0000006   4.5439E+04 -1.9612E+04  1.0983E+04
0000007   1.2695E+04 -4.6089E+02 -1.0074E+03
0000008   4.4931E+04  4.8198E+04 -1.0443E+04
0000009   4.4221E+04 -1.3774E+04  1.3398E+04
0000010   9.8214E+04  1.6902E+04  2.5542E+04
0000011   6.3379E+04  3.1061E+04  5.0626E+03
0000012   3.2668E+04  2.0605E+03 -6.3007E+03
0000013   5.7641E+04  1.3771E+04 -5.9907E+04
0000014   7.9773E+04 -2.8297E+04 -4.8608E+04
0000015   2.7654E+04 -3.0610E+03 -6.9493E+04
0000016   5.7107E+04 -8.0608E+03  4.1554E+04
0000017   1.0294E+04  3.5492E+03 -1.9206E+03
0000018   3.6788E+04  1.6236E+04  5.3683E+03
0000019   3.9119E+04  1.5756E+03  3.2194E+04
0000020   5.8795E+04  8.1901E+03  1.3394E+04
0000021   9.6241E+04  1.6304E+04 -1.5738E+04
0000022   3.2353E+04  1.8803E+04  3.2178E+04
0000023   7.3607E+04 -1.3819E+04  3.5279E+04
0000024   1.0509E+05 -3.6783E+04 -1.3874E+04
0000025   8.1466E+04 -6.9714E+03  9.1595E+03
0000026   2.8121E+04 -2.7758E+04  1.1380E+03
0000027   1.5547E+04 -5.2821E+04  3.3206E+04
0000028   3.2680E+04 -3.1562E+04  1.4633E+04
0000029   2.8988E+04  8.6762E+03 -8.7791E+03
0000030   8.0473E+04 -8.4235E+03  2.2331E+04
0000031   1.3773E+05  2.0363E+04  7.6216E+03
0000032   2.3094E+04 -2.7637E+04  1.4040E+04
0000033   1.6272E+04 -9.3766E+03  9.4156E+03
0000034   4.1519E+04 -3.6927E+03  1.4423E+04
0000035   3.5568E+04  2.0020E+04 -1.7972E+04
0000036   4.8862E+04 -3.3416E+04 -1.1043E+04
0000037   7.5595E+04 -2.5702E+04 -2.4012E+04
0000038   1.0363E+05 -1.8432E+04 -2.1294E+04
0000039   4.0240E+04  2.2387E+04 -2.0929E+04
0000040   4.9792E+04 -9.7754E+03  8.4698E+03
0000041   2.8512E+04 -1.3834E+04  1.6778E+04
0000042   3.3245E+04 -1.5172E+04 -7.6557E+03
0000043   3.6975E+04  2.7743E+04 -2.4910E+04
0000044   1.0387E+04 -2.5809E+04  2.4377E+04
0000046   8.8191E+04  1.4754E+04  5.8819E+04
0000047   4.8269E+04  3.4367E+04 -1.9007E+04
0000048   2.5515E+04  3.3921E+03 -2.0470E+03
0000049   6.2754E+04 -1.2776E+04  1.1634E+04
0000050   6.4153E+04 -1.0515E+04 -5.6238E+04
0000051   8.9594E+04 -3.7504E+02  9.5604E+03
0000052   5.0119E+04  1.8801E+04  1.0110E+04
0000053   8.8041E+04 -3.4313E+04 -7.2271E+03
0000054   6.3842E+04 -3.7280E+03 -6.0993E+03
0000055   4.7127E+04  2.0545E+04 -1.8610E+04
0000056   6.7422E+04  1.3844E+04 -9.2631E+03
0000057   6.5282E+04 -1.7718E+04 -1.3214E+04
0000058   9.1002E+04 -1.9150E+04  2.7015E+04
0000059   7.3474E+04  7.0129E+03  1.0536E+04
0000060   2.8835E+03 -1.1865E+04  2.0241E+04
0000061   2.6990E+04 -5.7840E+03 -2.0037E+04
0000062   5.3562E+04 -7.5913E+02 -1.0754E+04
0000063   1.4632E+04  4.5195E+03 -1.3538E+04
0000064   1.1555E+05 -4.2646E+04 -3.5942E+04
0000065   8.0772E+04  1.1107E+03  3.3710E+04
0000066   6.2352E+04 -2.2004E+04 -4.8207E+03
0000067   3.1870E+04  2.3614E+03 -2.7821E+03
0000068   2.2966E+04  4.6412E+03 -3.8663E+04
0000069   1.7416E+04 -7.6432E+03 -6.2601E+02
0000070   1.2794E+05 -3.1192E+03 -4.0551E+04
0000071   8.0352E+04 -5.3266E+04  1.2904E+04
0000072   4.8794E+04 -1.3489E+03 -2.7730E+04
0000073   1.1326E+04  1.7881E+04 -1.6637E+03
0000074   9.8096E+04 -5.4324E+04 -2.0710E+04
0000075   9.9040E+04 -1.7775E+03  1.0226E+03
0000076   8.9894E+04 -2.0013E+03  1.5321E+04
0000077   5.5934E+04  2.2155E+04  3.1858E+04
0000078   3.7171E+04 -6.4532E+03 -2.5591E+04
0000079   9.1590E+04 -3.8601E+04  2.1649E+04
0000080   4.5277E+04  2.7947E+04  8.9526E+03
0000081   2.3891E+04 -5.8076E+03 -1.3554E+04
0000082   8.1498E+04 -2.9136E+04 -1.5920E+04
0000083   6.7463E+04 -1.3242E+04  2.8778E+04
0000084   5.5591E+04  1.0180E+04 -7.1225E+03
0000085   5.1760E+04  1.9831E+04 -3.2428E+04
0000086   4.3594E+04  2.7993E+04 -1.9484E+04
0000087   6.3688E+04  9.0323E+03 -3.2400E+03
0000088   7.1141E+04  4.8457E+04 -1.0512E+04
0000089   2.0609E+04 -5.4577E+03  5.4460E+04
0000090   1.0132E+05  1.1963E+04 -9.8382E+03
0000091   2.7777E+04  2.2011E+04 -1.0427E+04
0000092   9.2645E+03 -1.1189E+04  1.0162E+04
0000093   1.1272E+04  5.6144E+03  2.6665E+04
0000094   1.2656E+05 -2.3510E+04  1.2354E+04
0000095   3.8463E+04 -2.0383E+04  9.4546E+02
0000096   3.7897E+04  1.6516E+04 -3.6115E+04
0000097   6.0465E+04  5.4229E+04 -8.7448E+03
0000098   5.1301E+04  7.3507E+03  2.5910E+04
0000099   2.8308E+04 -2.2966E+04  8.7885E+03
0000100   4.9074E+04 -2.4958E+03 -1.1812E+03
0000101   8.3955E+04  3.4290E+04 -1.3195E+04
0000102   4.7791E+04  6.1292E+04  3.4811E+04
0000103   7.3320E+04 -2.9994E+03  1.9312E+04
0000104   6.0373E+04  2.2323E+03  5.9973E+04
0000105   7.8755E+04 -3.6594E+04 -7.1107E+04
0000106   4.2964E+04 -1.3594E+04  1.0355E+04
0000107   1.0038E+05  4.2192E+04 -4.7373E+04
